Formation,Lineup Status,Formation Slot,Assigned Role,Name,Official Position,Role Source,OVR,Position Fit Score,Role Attribute Score,Selection Score,Protection Contribution,Distribution Contribution,Goalkeeper Style
4-3-3,Starter,GK,Goalkeeper,Alisson,Goalkeeper,Official Position,89,100.0,87.2,87.2,87.5,86.0,High Protection and Distribution
4-3-3,Starter,CB1,Center Back,Virgil van Dijk,Center Back,Official Position,90,100.0,89.55,92.32,,,
4-3-3,Starter,CB2,Center Back,Gabriel,Center Back,Official Position,88,100.0,87.9,90.96,,,
4-3-3,Starter,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89,100.0,88.15,91.41,,,
4-3-3,Starter,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86,100.0,84.41,88.864,,,
4-3-3,Starter,DM,Defensive Midfielder,Rodri,Defensive Midfielder,Official Position,90,100.0,88.9,92.06,,,
4-3-3,Starter,CM1,Central Midfielder,Vitinha,Central Midfielder,Official Position,89,100.0,86.76,90.854,,,
4-3-3,Starter,CM2,Central Midfielder,Pedri,Central Midfielder,Official Position,89,100.0,87.17,91.018,,,
4-3-3,Starter,W1,Winger,Vini Jr.,Left Winger,Official Position,89,100.0,90.56,92.374,,,
4-3-3,Starter,W2,Winger,Bukayo Saka,Right Winger,Official Position,88,100.0,85.72,90.088,,,
4-3-3,Starter,ST,Striker,Erling Haaland,Striker,Official Position,90,100.0,91.88,93.252,,,
4-3-3,Backup,Backup GK,Goalkeeper,David Raya,Goalkeeper,Official Position,87,100.0,85.8,85.8,85.5,87.0,High Protection and Distribution
4-2-3-1,Starter,GK,Goalkeeper,Alisson,Goalkeeper,Official Position,89,100.0,87.2,87.2,87.5,86.0,High Protection and Distribution
4-2-3-1,Starter,CB1,Center Back,Virgil van Dijk,Center Back,Official Position,90,100.0,89.55,92.32,,,
4-2-3-1,Starter,CB2,Center Back,Gabriel,Center Back,Official Position,88,100.0,87.9,90.96,,,
4-2-3-1,Starter,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89,100.0,88.15,91.41,,,
4-2-3-1,Starter,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86,100.0,84.41,88.864,,,
4-2-3-1,Starter,DM1,Defensive Midfielder,Joshua Kimmich,Defensive Midfielder,Official Position,89,100.0,88.35,91.49,,,
4-2-3-1,Starter,DM2,Defensive Midfielder,Rodri,Defensive Midfielder,Official Position,90,100.0,88.9,92.06,,,
4-2-3-1,Starter,AM,Attacking Midfielder,Florian Wirtz,Attacking Midfielder,Official Position,89,100.0,87.8,91.27,,,
4-2-3-1,Starter,W1,Winger,Vini Jr.,Left Winger,Official Position,89,100.0,90.56,92.374,,,
4-2-3-1,Starter,W2,Winger,Bukayo Saka,Right Winger,Official Position,88,100.0,85.72,90.088,,,
4-2-3-1,Starter,ST,Striker,Erling Haaland,Striker,Official Position,90,100.0,91.88,93.252,,,
4-2-3-1,Backup,Backup GK,Goalkeeper,David Raya,Goalkeeper,Official Position,87,100.0,85.8,85.8,85.5,87.0,High Protection and Distribution
4-4-2,Starter,GK,Goalkeeper,Alisson,Goalkeeper,Official Position,89,100.0,87.2,87.2,87.5,86.0,High Protection and Distribution
4-4-2,Starter,CB1,Center Back,Virgil van Dijk,Center Back,Official Position,90,100.0,89.55,92.32,,,
4-4-2,Starter,CB2,Center Back,Gabriel,Center Back,Official Position,88,100.0,87.9,90.96,,,
4-4-2,Starter,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89,100.0,88.15,91.41,,,
4-4-2,Starter,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86,100.0,84.41,88.864,,,
4-4-2,Starter,CM1,Central Midfielder,Vitinha,Central Midfielder,Official Position,89,100.0,86.76,90.854,,,
4-4-2,Starter,CM2,Central Midfielder,Pedri,Central Midfielder,Official Position,89,100.0,87.17,91.018,,,
4-4-2,Starter,WM1,Wide Midfielder,Mohamed Salah,Right Midfielder,Official Position,91,100.0,88.5,92.25,,,
4-4-2,Starter,WM2,Wide Midfielder,Raphinha,Left Midfielder,Official Position,89,100.0,88.33,91.482,,,
4-4-2,Starter,ST1,Striker,Harry Kane,Striker,Official Position,89,100.0,91.62,92.798,,,
4-4-2,Starter,ST2,Striker,Erling Haaland,Striker,Official Position,90,100.0,91.88,93.252,,,
4-4-2,Backup,Backup GK,Goalkeeper,David Raya,Goalkeeper,Official Position,87,100.0,85.8,85.8,85.5,87.0,High Protection and Distribution
