Name,Position,Team,OVR,AttackingContribution,DefensiveContribution
Jonathan Tah,Center Back,FC Bayern München,87,56.0,86.5
Gabriel,Center Back,Arsenal,88,59.25,86.0
Willian Pacho,Center Back,Paris SG,86,59.5,86.0
Ibrahima Konaté,Center Back,Liverpool,86,60.75,85.5
Nikola Milenković,Center Back,Nott'm Forest,83,57.0,85.0
Rúben Dias,Center Back,Manchester City,86,59.0,85.0
Willi Orban,Center Back,RB Leipzig,84,52.25,84.5
Francesco Acerbi,Center Back,Lombardia FC,84,59.25,84.0
Nicolás Otamendi,Center Back,SL Benfica,82,60.75,84.0
Waldemar Anton,Center Back,Borussia Dortmund,82,62.25,84.0
Ibañez,Center Back,Al Ahli,82,56.75,84.0
Raíllo,Center Back,RCD Mallorca,81,49.5,83.5
Kim Min Jae,Center Back,FC Bayern München,82,56.75,83.5
Gianluca Mancini,Center Back,AS Roma,83,60.25,83.5
José María Giménez,Center Back,Atlético de Madrid,83,60.25,83.5
Abdülkerim Bardakcı,Center Back,Galatasaray,80,61.0,83.0
Danilo Pereira,Center Back,Al Ittihad,81,62.5,83.0
Kalidou Koulibaly,Center Back,Al Hilal,82,62.25,83.0
Sebastián Coates,Center Back,Nacional,79,56.0,82.5
Ousmane Diomande,Center Back,Sporting CP,80,56.75,82.5
