Name,Position,Team,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Cluster
Lamine Yamal,Right Midfielder,FC Barcelona,89,85,81,86,90,23,53,0
Vini Jr.,Left Winger,Real Madrid,89,95,84,81,91,29,69,0
Nico Williams,Left Midfielder,Athletic Club,86,93,76,80,87,36,66,0
Rodrygo,Right Winger,Real Madrid,85,88,80,79,87,31,64,0
Omar Marmoush,Striker,Manchester City,84,89,85,76,86,34,71,0
Moussa Diaby,Right Midfielder,Al Ittihad,84,95,75,77,87,44,54,0
Ademola Lookman,Striker,Bergamo Calcio,84,86,84,73,88,32,67,0
Loïs Openda,Striker,Juventus,83,95,81,69,81,31,80,0
Hugo Ekitiké,Striker,Liverpool,83,86,78,69,85,33,73,0
Iago Aspas,Right Winger,Celta,83,77,84,80,84,35,62,0
Jonathan Tah,Center Back,FC Bayern München,87,63,38,60,63,87,86,1
Willian Pacho,Center Back,Paris SG,86,80,34,62,62,86,86,1
Willi Orban,Center Back,RB Leipzig,84,57,40,56,56,86,83,1
José María Giménez,Center Back,Atlético de Madrid,83,73,46,60,62,85,82,1
Gianluca Mancini,Center Back,AS Roma,83,70,50,57,64,85,82,1
Nikola Milenković,Center Back,Nott'm Forest,83,57,46,63,62,84,86,1
Robin Le Normand,Center Back,Atlético de Madrid,83,65,28,59,63,84,80,1
Alessio Romagnoli,Center Back,Latium,82,64,40,55,69,84,80,1
Sven Botman,Center Back,Newcastle Utd,82,56,37,62,65,83,82,1
Kim Min Jae,Center Back,FC Bayern München,82,73,33,58,63,83,84,1
Mohamed Salah,Right Midfielder,Liverpool,91,89,88,86,90,45,76,2
Kylian Mbappé,Striker,Real Madrid,91,97,90,81,92,37,76,2
Ousmane Dembélé,Striker,Paris SG,90,91,88,83,93,50,69,2
Rodri,Defensive Midfielder,Manchester City,90,65,80,86,84,86,85,2
Virgil van Dijk,Center Back,Liverpool,90,73,60,72,72,90,87,2
Jude Bellingham,Attacking Midfielder,Real Madrid,90,80,86,83,90,78,85,2
Erling Haaland,Striker,Manchester City,90,86,91,70,80,45,88,2
Joshua Kimmich,Defensive Midfielder,FC Bayern München,89,72,74,89,84,83,79,2
Florian Wirtz,Attacking Midfielder,Liverpool,89,80,82,88,90,54,67,2
Federico Valverde,Central Midfielder,Real Madrid,89,88,84,84,84,83,85,2
