Name,Position,Team,OVR,AttackingContribution,DefensiveContribution,BalanceGap
Guilherme Sityá,Left Back,Konyaspor,76,73.0,73.0,0.0
Morgan Sanson,Central Midfielder,OGC Nice,76,72.0,72.0,0.0
Philipp Sander,Defensive Midfielder,M'gladbach,75,70.25,70.5,0.25
Leandro Paredes,Central Midfielder,Boca Juniors,78,73.25,73.0,0.25
Wesley,Right Back,AS Roma,77,74.75,74.5,0.25
Fran García,Left Back,Real Madrid,79,71.75,71.5,0.25
Arthur Masuaku,Left Back,Sunderland,75,73.25,73.5,0.25
Ao Tanaka,Defensive Midfielder,Leeds United,76,71.75,72.0,0.25
Manu Morlanes,Central Midfielder,RCD Mallorca,77,70.25,70.5,0.25
Jauregizar,Central Midfielder,Athletic Club,78,73.75,73.5,0.25
Cristiano Biraghi,Left Back,Torino,78,73.75,73.5,0.25
Luis Milla,Central Midfielder,Getafe CF,79,74.25,74.0,0.25
Rodrigo De Paul,Central Midfielder,Inter Miami CF,84,79.75,79.5,0.25
Maximilian Arnold,Defensive Midfielder,VfL Wolfsburg,79,74.75,75.0,0.25
Ainsley Maitland-Niles,Right Back,OL,77,72.75,73.0,0.25
Mateus Uribe,Central Midfielder,Atl. Nacional,76,73.75,74.0,0.25
Gustavo Hamer,Left Midfielder,Sheffield Utd,77,74.25,74.0,0.25
Leonardo Lelo,Left Midfielder,SC Braga,75,70.75,70.5,0.25
Adrien Rabiot,Attacking Midfielder,Milano FC,83,80.25,80.5,0.25
Noussair Mazraoui,Right Back,Man Utd,80,74.25,74.5,0.25
Jayden Bogle,Right Back,Leeds United,75,70.25,70.0,0.25
Marcos Acuña,Left Back,River Plate,78,75.75,75.5,0.25
Nikola Moro,Defensive Midfielder,Bologna,75,71.25,71.0,0.25
Kevin Castaño,Central Midfielder,River Plate,77,74.0,73.5,0.5
Pep Chavarría,Left Back,Rayo Vallecano,77,72.5,73.0,0.5
