,precision,recall,f1-score,support
Attacking Midfielder,0.41304347826086957,0.37012987012987014,0.3904109589041096,154.0
Center Back,0.8691588785046729,0.9244532803180915,0.8959537572254336,503.0
Central Midfielder,0.5415730337078651,0.767515923566879,0.6350461133069829,314.0
Defensive Midfielder,0.48484848484848486,0.44036697247706424,0.46153846153846156,218.0
Left Back,0.4266666666666667,0.32653061224489793,0.3699421965317919,196.0
Left Midfielder,0.3253588516746411,0.4171779141104294,0.3655913978494624,163.0
Left Winger,0.0,0.0,0.0,53.0
Right Back,0.43137254901960786,0.42105263157894735,0.4261501210653753,209.0
Right Midfielder,0.3364485981308411,0.23529411764705882,0.27692307692307694,153.0
Right Winger,0.0,0.0,0.0,51.0
Striker,0.8508997429305912,0.9168975069252078,0.8826666666666667,361.0
accuracy,0.6088421052631579,0.6088421052631579,0.6088421052631579,0.6088421052631579
macro avg,0.42539729852220365,0.43812898445440424,0.4276566136373965,2375.0
weighted avg,0.5734799910601924,0.6088421052631579,0.5865200980453296,2375.0
