,precision,recall,f1-score,support
Attacking Midfielder,0.4093567251461988,0.45454545454545453,0.4307692307692308,154.0
Center Back,0.9032921810699589,0.8727634194831014,0.8877654196157735,503.0
Central Midfielder,0.5589041095890411,0.6496815286624203,0.6008836524300442,314.0
Defensive Midfielder,0.46218487394957986,0.5045871559633027,0.4824561403508772,218.0
Left Back,0.3380952380952381,0.3622448979591837,0.3497536945812808,196.0
Left Midfielder,0.23270440251572327,0.22699386503067484,0.22981366459627328,163.0
Left Winger,0.08,0.03773584905660377,0.05128205128205128,53.0
Right Back,0.34210526315789475,0.31100478468899523,0.3258145363408521,209.0
Right Midfielder,0.23684210526315788,0.23529411764705882,0.2360655737704918,153.0
Right Winger,0.047619047619047616,0.0196078431372549,0.027777777777777776,51.0
Striker,0.8715083798882681,0.8642659279778393,0.8678720445062587,361.0
accuracy,0.5671578947368421,0.5671578947368421,0.5671578947368421,0.5671578947368421
macro avg,0.4075102114812826,0.41261134946835354,0.4082048896382647,2375.0
weighted avg,0.558680639424379,0.5671578947368421,0.5618519658380389,2375.0
