,0
DEF,0.7588493636363636
Sliding Tackle,0.7431574545454545
Interceptions,0.7360994727272727
Standing Tackle,0.7295262909090909
Finishing,0.5262552181818181
SHO,0.47122029090909096
Volleys,0.39534165454545456
PHY,0.37668485454545453
Heading Accuracy,0.3764004181818181
Positioning,0.37423965454545455
Long Shots,0.3732578
Acceleration,0.3621182
Penalties,0.357665
Aggression,0.3562816181818182
Strength,0.3561080545454545
PAC,0.35251389090909085
Agility,0.34561801818181825
Dribbling,0.3271584727272728
Vision,0.3257094545454546
Crossing,0.31647065454545453
DRI,0.3113362
Sprint Speed,0.3047402
Long Passing,0.26596949090909094
Jumping,0.2632351636363636
Free Kick Accuracy,0.2619896727272727
Curve,0.2570556
Balance,0.2560825636363636
Shot Power,0.25167979999999995
PAS,0.2485586545454545
Ball Control,0.1931169636363636
Short Passing,0.16426896363636362
Stamina,0.10639247272727273
Composure,0.06356167272727273
Reactions,0.038167654545454545
