Position,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Accuracy,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
Attacking Midfielder,70.69,65.12,67.48,71.62,46.54,60.62,72.18,69.44,67.36,65.28,67.29,64.93,58.05,60.09,63.22,69.37,60.54,70.58,66.4,65.3,75.61,75.21,66.26,71.55,71.4,66.98,45.31,51.25,47.78,44.42,62.26,68.62,58.39,55.7
Center Back,60.72,37.71,52.16,55.17,68.19,73.58,58.94,62.14,38.42,33.25,50.45,35.01,32.88,41.3,43.08,45.3,34.06,63.17,57.96,39.12,54.24,55.36,64.81,59.54,50.71,60.68,67.33,67.95,69.29,67.11,75.82,67.7,77.83,69.54
Central Midfielder,66.48,61.25,66.76,69.21,61.37,66.72,67.43,65.69,64.61,59.87,65.61,62.7,52.8,54.97,59.79,68.34,56.43,71.28,68.68,60.72,70.92,71.67,66.96,70.26,68.39,66.17,63.32,54.14,64.25,59.97,64.88,73.68,64.17,64.72
Defensive Midfielder,62.42,55.03,63.88,66.12,66.04,70.96,63.1,61.82,57.51,51.43,63.47,56.94,46.45,51.42,55.52,64.16,50.77,70.03,67.55,54.86,66.0,68.1,66.54,68.14,64.57,65.18,67.21,58.54,67.94,65.2,68.34,74.31,69.71,70.39
Left Back,74.26,48.96,61.57,65.91,63.49,66.82,74.36,74.18,58.82,45.61,56.53,48.84,42.09,45.88,66.16,57.11,47.73,64.78,59.25,59.13,70.87,70.99,64.18,65.81,65.01,60.84,63.78,56.49,65.55,64.41,69.62,73.07,64.56,63.87
Left Midfielder,78.27,63.07,63.19,70.27,40.59,59.92,78.94,77.75,65.07,63.61,66.17,61.3,55.68,57.69,63.99,63.81,54.04,65.55,59.22,61.8,77.17,74.95,63.36,69.13,70.5,63.17,38.33,49.54,41.25,38.16,64.76,67.62,58.69,52.0
Left Winger,78.48,64.43,63.08,71.14,35.41,58.33,79.26,77.86,65.9,65.68,66.37,62.51,56.84,58.52,63.88,64.16,53.95,65.29,58.63,61.96,78.32,75.56,63.11,69.95,71.42,64.0,32.36,49.57,35.19,33.06,63.92,65.95,57.05,50.57
Right Back,74.42,48.38,60.48,65.32,63.48,67.77,74.34,74.46,58.23,45.63,55.5,47.4,41.21,45.23,64.42,56.45,43.19,64.41,58.59,55.84,70.32,70.29,63.87,65.23,64.33,60.62,63.67,56.7,65.49,64.18,70.11,73.7,65.64,64.9
Right Midfielder,78.5,62.5,63.29,70.28,42.18,59.85,79.14,77.97,64.9,62.96,65.68,60.68,55.34,57.22,64.45,63.76,53.78,65.55,59.22,62.06,77.68,75.1,63.71,69.1,70.3,63.51,40.38,49.35,42.64,39.97,64.16,68.25,57.77,53.31
Right Winger,77.83,64.69,63.78,70.91,37.15,59.17,78.46,77.27,66.35,65.82,66.94,62.73,57.04,58.68,64.42,65.12,55.06,65.9,59.48,62.0,76.77,74.69,64.01,70.15,71.18,63.79,34.86,49.02,36.99,34.26,63.59,66.47,58.01,51.74
Striker,70.97,67.96,56.59,66.64,31.98,68.81,70.1,71.63,69.42,69.62,70.35,63.4,62.67,64.97,49.77,59.13,49.15,62.82,50.72,54.78,67.31,64.56,65.79,67.76,66.29,64.09,27.51,66.8,28.87,25.58,77.45,66.86,73.24,57.94
