Position,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Accuracy,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression
Attacking Midfielder,0.129,0.726,0.816,0.746,-0.492,-0.769,0.262,0.009,0.637,0.739,0.474,0.726,0.663,0.622,0.536,0.861,0.885,0.634,0.632,0.759,0.645,0.638,0.161,0.659,0.708,0.439,-0.449,-0.679,-0.417,-0.45,-0.778,-0.133,-0.786,-0.54
Center Back,-0.783,-1.272,-0.926,-1.202,0.861,0.716,-0.891,-0.638,-1.42,-1.282,-0.899,-1.23,-1.08,-0.914,-1.016,-1.137,-0.987,-0.383,-0.211,-1.107,-1.116,-0.995,-0.046,-0.915,-1.254,-0.301,0.759,0.824,0.787,0.808,0.584,-0.224,0.863,0.577
Central Midfielder,-0.256,0.444,0.734,0.46,0.435,-0.069,-0.152,-0.323,0.442,0.398,0.337,0.58,0.3,0.204,0.272,0.776,0.594,0.73,0.859,0.433,0.258,0.347,0.26,0.489,0.424,0.343,0.539,-0.419,0.505,0.412,-0.515,0.368,-0.296,0.188
Defensive Midfielder,-0.628,-0.01,0.406,0.095,0.726,0.416,-0.529,-0.666,-0.063,-0.135,0.162,0.204,-0.14,-0.087,-0.058,0.429,0.194,0.558,0.746,0.015,-0.147,0.053,0.2,0.211,0.061,0.227,0.753,-0.023,0.711,0.702,-0.167,0.43,0.174,0.646
Left Back,0.457,-0.452,0.144,0.07,0.567,-0.059,0.452,0.428,0.031,-0.502,-0.403,-0.326,-0.442,-0.539,0.762,-0.157,-0.021,-0.162,-0.083,0.319,0.254,0.291,-0.137,-0.093,0.103,-0.282,0.564,-0.207,0.578,0.659,-0.039,0.308,-0.263,0.119
Left Midfielder,0.823,0.576,0.328,0.585,-0.865,-0.849,0.851,0.745,0.475,0.633,0.382,0.488,0.499,0.426,0.594,0.4,0.425,-0.057,-0.085,0.51,0.773,0.617,-0.253,0.341,0.624,-0.009,-0.832,-0.832,-0.783,-0.797,-0.527,-0.232,-0.761,-0.839
Left Winger,0.843,0.675,0.315,0.689,-1.188,-1.03,0.879,0.754,0.534,0.764,0.398,0.567,0.579,0.494,0.586,0.428,0.419,-0.093,-0.145,0.521,0.868,0.667,-0.288,0.449,0.711,0.088,-1.16,-0.83,-1.122,-1.08,-0.612,-0.397,-0.9,-0.954
Right Back,0.47,-0.494,0.02,-0.0,0.566,0.05,0.45,0.453,-0.011,-0.5,-0.487,-0.42,-0.502,-0.593,0.628,-0.211,-0.342,-0.214,-0.149,0.085,0.208,0.234,-0.181,-0.169,0.038,-0.308,0.558,-0.188,0.575,0.646,0.01,0.369,-0.172,0.203
Right Midfielder,0.844,0.535,0.34,0.587,-0.765,-0.857,0.868,0.764,0.463,0.593,0.342,0.448,0.476,0.388,0.63,0.395,0.407,-0.057,-0.086,0.528,0.815,0.63,-0.203,0.338,0.604,0.031,-0.72,-0.85,-0.704,-0.696,-0.588,-0.17,-0.839,-0.734
Right Winger,0.783,0.694,0.395,0.662,-1.08,-0.935,0.809,0.702,0.566,0.773,0.445,0.582,0.593,0.507,0.628,0.508,0.497,-0.009,-0.06,0.524,0.74,0.596,-0.16,0.474,0.688,0.063,-1.023,-0.88,-1.021,-1.013,-0.644,-0.346,-0.819,-0.861
Striker,0.155,0.933,-0.423,0.157,-1.403,0.17,0.081,0.203,0.784,1.013,0.723,0.625,0.983,1.021,-0.5,0.011,0.08,-0.432,-0.935,0.009,-0.039,-0.238,0.093,0.161,0.224,0.099,-1.426,0.721,-1.475,-1.494,0.748,-0.308,0.473,-0.36
