Position,PAC,SHO,PAS,DRI,DEF,PHY
Attacking Midfielder,70.69,65.12,67.48,71.62,46.54,60.62
Center Back,60.72,37.71,52.16,55.17,68.19,73.58
Central Midfielder,66.48,61.25,66.76,69.21,61.37,66.72
Defensive Midfielder,62.42,55.03,63.88,66.12,66.04,70.96
Left Back,74.26,48.96,61.57,65.91,63.49,66.82
Left Midfielder,78.27,63.07,63.19,70.27,40.59,59.92
Left Winger,78.48,64.43,63.08,71.14,35.41,58.33
Right Back,74.42,48.38,60.48,65.32,63.48,67.77
Right Midfielder,78.5,62.5,63.29,70.28,42.18,59.85
Right Winger,77.83,64.69,63.78,70.91,37.15,59.17
Striker,70.97,67.96,56.59,66.64,31.98,68.81
