,precision,recall,f1-score,support
Attacking Midfielder,0.5,0.512987012987013,0.5064102564102564,154.0
Center Back,0.9248434237995825,0.8807157057654076,0.9022403258655805,503.0
Central Midfielder,0.5811209439528023,0.6273885350318471,0.6033690658499234,314.0
Defensive Midfielder,0.47440273037542663,0.6376146788990825,0.5440313111545988,218.0
Fullback,0.7526595744680851,0.6987654320987654,0.7247119078104993,405.0
Striker,0.8908045977011494,0.8587257617728532,0.8744710860366713,361.0
Wide Midfielder,0.5307262569832403,0.2996845425867508,0.38306451612903225,317.0
Winger,0.21674876847290642,0.42718446601941745,0.2875816993464052,103.0
accuracy,0.6694736842105263,0.6694736842105263,0.6694736842105263,0.6694736842105263
macro avg,0.6089132869691491,0.6178832668951422,0.603235021075371,2375.0
weighted avg,0.6926572411959153,0.6694736842105263,0.6737328535891446,2375.0
