,precision,recall,f1-score,support
Attacking Midfielder,0.46808510638297873,0.42857142857142855,0.44745762711864406,154.0
Center Back,0.9022403258655805,0.8807157057654076,0.8913480885311871,503.0
Central Midfielder,0.5347593582887701,0.6369426751592356,0.5813953488372093,314.0
Defensive Midfielder,0.42971887550200805,0.4908256880733945,0.4582441113490364,218.0
Fullback,0.725130890052356,0.6839506172839506,0.7039390088945362,405.0
Striker,0.865546218487395,0.8559556786703602,0.8607242339832869,361.0
Wide Midfielder,0.536741214057508,0.5299684542586751,0.5333333333333333,317.0
Winger,0.3088235294117647,0.20388349514563106,0.24561403508771928,103.0
accuracy,0.6698947368421052,0.6698947368421052,0.6698947368421052,0.6698947368421052
macro avg,0.5963806897560451,0.5888517178660104,0.590256973391869,2375.0
weighted avg,0.6718320536363254,0.6698947368421052,0.6694288750599526,2375.0
