,precision,recall,f1-score,support
Attacking Midfielder,0.5340314136125655,0.6623376623376623,0.591304347826087,154.0
Center Back,0.9470338983050848,0.8886679920477137,0.916923076923077,503.0
Central Midfielder,0.7216494845360825,0.6687898089171974,0.6942148760330579,314.0
Defensive Midfielder,0.6090225563909775,0.7431192660550459,0.6694214876033058,218.0
Fullback,0.851508120649652,0.9061728395061729,0.8779904306220095,405.0
Striker,0.9069767441860465,0.8642659279778393,0.8851063829787233,361.0
Wide Midfielder,0.6218905472636815,0.3943217665615142,0.4826254826254826,317.0
Winger,0.2737430167597765,0.47572815533980584,0.3475177304964539,103.0
accuracy,0.7469473684210526,0.7469473684210526,0.7469473684210526,0.7469473684210526
macro avg,0.6832319727129833,0.700425427342869,0.6831379768885246,2375.0
weighted avg,0.7644538828229354,0.7469473684210526,0.7495101749558196,2375.0
