,precision,recall,f1-score,support
Attacking Midfielder,0.5827338129496403,0.525974025974026,0.552901023890785,154.0
Center Back,0.9322381930184805,0.9025844930417495,0.9171717171717172,503.0
Central Midfielder,0.6450777202072538,0.7929936305732485,0.7114285714285714,314.0
Defensive Midfielder,0.6238532110091743,0.6238532110091743,0.6238532110091743,218.0
Fullback,0.8083140877598153,0.8641975308641975,0.8353221957040573,405.0
Striker,0.889196675900277,0.889196675900277,0.889196675900277,361.0
Wide Midfielder,0.625,0.6151419558359621,0.6200317965023847,317.0
Winger,0.2564102564102564,0.0970873786407767,0.14084507042253522,103.0
accuracy,0.7562105263157894,0.7562105263157894,0.7562105263157894,0.7562105263157894
macro avg,0.6703529946568623,0.6638786127299265,0.6613437827536878,2375.0
weighted avg,0.7453110250023578,0.7562105263157894,0.7478885532000195,2375.0
