Feature,Importance
Vision,0.062054637106199864
DEF,0.05725174798379656
Heading Accuracy,0.0505031339661474
Sliding Tackle,0.04606101118813855
Interceptions,0.04596820858841767
Standing Tackle,0.04327991834311973
Finishing,0.041691953339709494
Positioning,0.04142396930049039
Long Passing,0.03851862810783662
SHO,0.03417821436578018
Jumping,0.03188633000777413
PAC,0.031730006735972045
Crossing,0.03135953030431577
Strength,0.030537467323211123
Sprint Speed,0.028586067221498233
Acceleration,0.028291783182893115
Dribbling,0.025738825194711528
PAS,0.025064730821811695
Long Shots,0.02491091723760354
DRI,0.02258394402112658
PHY,0.02141083774630314
Volleys,0.02077937425806761
Free Kick Accuracy,0.020642159291988024
Curve,0.020541609430649952
Aggression,0.020276275378587318
Agility,0.02012837745989725
Short Passing,0.01997247777277499
Penalties,0.019256462969743048
Balance,0.01914636978239671
Stamina,0.016597704298579805
Shot Power,0.01570933094217862
Composure,0.015180114954569059
Reactions,0.01445769018967303
Ball Control,0.014280191184037182
