ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,card,Functional Position,Prob_Attacking Midfielder,Prob_Center Back,Prob_Central Midfielder,Prob_Defensive Midfielder,Prob_Full Back,Prob_Striker,Prob_Wide Midfielder,Prob_Winger,PredictedFunctionalPosition1,FunctionalPositionProbability1,PredictedFunctionalPosition2,FunctionalPositionProbability2,PredictedFunctionalPosition3,FunctionalPositionProbability3,OfficialFunctionalPositionMatch
209331,1,Mohamed Salah,M,91,89,88,86,90,45,76,88,89,93,94,83,78,83,88,86,89,69,88,81,88,90,86,91,94,90,93,55,59,38,43,41,79,88,75,63,Right Midfielder,3,4,Left,"175cm / 5'9""",72kg / 159lb,['RW'],33,Egypt,Premier League,Liverpool,"['Finesse Shot+', 'First Touch', 'Gamechanger', 'Inventive', 'Low Driven Shot', 'Technical', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/209331_en.webp,Wide Midfielder,0.20306175314515432,1.903129755201692e-18,0.00018628412273074827,1.7089373615458186e-11,7.423132442483278e-10,0.07447077298639096,0.3557504423797496,0.36653074660657176,Winger,0.36653074660657176,Wide Midfielder,0.3557504423797496,Attacking Midfielder,0.20306175314515432,False
252371,9,Jude Bellingham,M,90,80,86,83,90,78,85,81,80,91,88,86,87,77,74,66,90,68,90,89,73,91,83,83,91,91,90,82,75,77,79,77,85,94,80,85,Attacking Midfielder,4,4,Right,"186cm / 6'1""",75kg / 165lb,['CM'],22,England,LALIGA EA SPORTS,Real Madrid,"['Relentless+', 'First Touch', 'Gamechanger', 'Inventive', 'Low Driven Shot', 'Slide Tackle', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jude-bellingham/252371,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/252371_en.webp,Attacking Midfielder,0.19340901488408546,9.181497655682274e-07,0.7942489762604709,0.00938124706153039,1.999994873731304e-06,0.0025166948164747375,0.00029945491810202376,0.0001416939146970563,Central Midfielder,0.7942489762604709,Attacking Midfielder,0.19340901488408546,Defensive Midfielder,0.00938124706153039,False
246669,41,Bukayo Saka,M,88,84,82,85,88,60,73,87,81,86,84,79,81,79,87,90,86,74,85,77,88,89,85,88,88,88,82,62,49,60,62,60,72,86,68,68,Right Winger,4,3,Left,"178cm / 5'10""",65kg / 143lb,['RM'],24,England,Premier League,Arsenal,"['Whipped Pass+', 'Finesse Shot', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bukayo-saka/246669,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/246669_en.webp,Winger,0.08476323165875145,1.781323250563354e-13,0.0021410712169003124,1.9314439486092249e-07,2.2249757925347568e-05,0.0006986731808014172,0.701689511275487,0.2106850697655614,Wide Midfielder,0.701689511275487,Winger,0.2106850697655614,Attacking Midfielder,0.08476323165875145,False
247635,45,Khvicha Kvaratskhelia,M,87,86,80,83,88,58,78,85,86,87,81,78,86,64,70,79,85,74,87,78,86,89,86,84,84,88,84,58,62,53,62,52,87,83,76,73,Left Winger,5,5,Right,"183cm / 6'0""",70kg / 154lb,"['RW', 'LM']",25,Georgia,Ligue 1 McDonald's,Paris SG,"['Inventive+', 'Finesse Shot', 'Gamechanger', 'Incisive Pass', 'Technical', 'Trickster']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/khvicha-kvaratskhelia/247635,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247635_en.webp,Winger,0.5668737301155612,2.692219986185618e-12,0.02080059367981283,4.50934897453065e-07,5.226472479571032e-07,0.017356442644921047,0.2850491370695129,0.10991912290535434,Attacking Midfielder,0.5668737301155612,Wide Midfielder,0.2850491370695129,Winger,0.10991912290535434,False
234378,55,Declan Rice,M,87,72,73,84,80,83,83,71,73,77,64,87,83,50,71,88,79,75,86,86,86,82,63,65,85,84,86,86,72,81,86,85,80,92,78,85,Defensive Midfielder,3,3,Right,"185cm / 6'1""",80kg / 176lb,['CM'],27,England,Premier League,Arsenal,"['Aerial Fortress', 'Block', 'Dead Ball', 'Intercept', 'Press Proven', 'Relentless', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/declan-rice/234378,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/234378_en.webp,Defensive Midfielder,0.0002530052655375383,0.016461335698797958,0.032164974711809374,0.33891679725404333,0.6107215615559586,2.1181235547666648e-07,0.0014405966404650516,4.1517061032458054e-05,Full Back,0.6107215615559586,Defensive Midfielder,0.33891679725404333,Central Midfielder,0.032164974711809374,False
212198,63,Bruno Fernandes,M,87,67,83,89,83,65,75,68,66,86,80,86,85,87,91,85,92,85,90,90,85,82,78,73,90,87,85,63,63,62,71,66,69,95,61,84,Attacking Midfielder,4,4,Right,"179cm / 5'10""",69kg / 152lb,['CM'],31,Portugal,Premier League,Man Utd,"['Relentless+', 'Dead Ball', 'Gamechanger', 'Incisive Pass', 'Inventive', 'Long Ball Pass', 'Tiki Taka']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/212198_en.webp,Attacking Midfielder,0.45494770907684684,5.7568247951666135e-11,0.5352138094889878,0.0001558844797251009,2.3939471963134663e-06,0.0005117641407268605,0.007371738049067492,0.00179670075988141,Central Midfielder,0.5352138094889878,Attacking Midfielder,0.45494770907684684,Wide Midfielder,0.007371738049067492,False
247827,83,Michael Olise,M,86,78,80,84,87,50,66,83,73,84,83,78,80,71,72,79,88,81,86,79,82,88,90,85,86,86,84,55,36,44,58,49,62,85,57,66,Right Midfielder,2,4,Left,"184cm / 6'0""",73kg / 161lb,['RW'],24,France,Bundesliga,FC Bayern München,"['Finesse Shot', 'Inventive', 'Technical', 'Whipped Pass']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/michael-olise/247827,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/247827_en.webp,Wide Midfielder,0.8362436054860325,4.9633541000749926e-17,0.029679900280162368,7.981120534727782e-08,1.2685828533981941e-08,0.0003843181215217917,0.08334873405763212,0.05034334955761726,Attacking Midfielder,0.8362436054860325,Wide Midfielder,0.08334873405763212,Winger,0.05034334955761726,False
208128,93,Hakan Çalhanoğlu,M,86,71,81,87,82,81,73,74,68,73,75,87,87,78,92,78,89,85,90,89,88,78,83,77,87,87,85,82,65,81,85,80,73,81,65,83,Defensive Midfielder,5,4,Right,"178cm / 5'10""",69kg / 152lb,['CM'],32,Turkey,Serie A Enilive,Lombardia FC,"['Incisive Pass+', 'Dead Ball', 'First Touch', 'Inventive', 'Long Ball Pass', 'Relentless', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/hakan-calhanoglu/208128,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/208128_en.webp,Defensive Midfielder,0.004285793892745063,3.54984075362458e-05,0.5445635057182829,0.4507407293407474,0.00033975550340960845,1.2136609329917272e-06,3.0392334509868366e-05,3.1111418358576187e-06,Central Midfielder,0.5445635057182829,Defensive Midfielder,0.4507407293407474,Attacking Midfielder,0.004285793892745063,False
158023,95,Lionel Messi,M,86,78,85,85,90,33,64,84,73,86,84,84,87,89,75,80,87,93,85,84,90,89,84,89,80,94,92,40,60,20,35,24,70,70,68,44,Right Winger,4,4,Left,"169cm / 5'7""",67kg / 148lb,"['ST', 'CAM', 'RM']",38,Argentina,MLS,Inter Miami CF,"['Tiki Taka+', 'Dead Ball', 'Finesse Shot', 'Gamechanger', 'Incisive Pass', 'Quick Step', 'Technical']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lionel-messi/158023,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/158023_en.webp,Winger,0.8421838439883474,3.687352845253379e-21,0.0006295139457107168,1.3580125281785302e-12,6.550991323218639e-13,0.012973111288765915,0.03771489907564754,0.1064986316995152,Attacking Midfielder,0.8421838439883474,Winger,0.1064986316995152,Wide Midfielder,0.03771489907564754,False
271421,123,Désiré Doué,M,85,83,80,77,90,55,74,85,82,81,78,86,83,68,71,74,78,68,81,74,82,91,88,87,85,89,89,59,46,52,60,52,75,80,77,61,Right Winger,4,5,Right,"181cm / 5'11""",79kg / 174lb,"['LW', 'CM', 'RM']",20,France,Ligue 1 McDonald's,Paris SG,"['Trickster+', 'First Touch', 'Gamechanger', 'Inventive', 'Press Proven', 'Quick Step']",https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/desire-doue/271421,,,,,,https://ratings-images-prod.pulse.ea.com/FC26/components/items/271421_en.webp,Winger,0.31520664945437366,1.711414740848668e-12,0.02088098900055613,1.93214709798978e-06,2.875851257896993e-06,0.009822752764754278,0.5119111807638751,0.14217362001637351,Wide Midfielder,0.5119111807638751,Attacking Midfielder,0.31520664945437366,Winger,0.14217362001637351,False
