,precision,recall,f1-score,support
Attacking Midfielder,0.6403508771929824,0.474025974025974,0.5447761194029851,154.0
Center Back,0.9272727272727272,0.9125248508946322,0.9198396793587175,503.0
Central Midfielder,0.673972602739726,0.7834394904458599,0.7245949926362297,314.0
Defensive Midfielder,0.6736842105263158,0.5871559633027523,0.6274509803921569,218.0
Full Back,0.8393665158371041,0.9160493827160494,0.8760330578512396,405.0
Striker,0.8753387533875339,0.8947368421052632,0.8849315068493151,361.0
Wide Midfielder,0.5902061855670103,0.722397476340694,0.649645390070922,317.0
Winger,0.4166666666666667,0.04854368932038835,0.08695652173913043,103.0
accuracy,0.7722105263157895,0.7722105263157895,0.7722105263157895,0.7722105263157895
macro avg,0.7046073173987584,0.6673592086439517,0.664278531037587,2375.0
weighted avg,0.7618844330270518,0.7722105263157895,0.7579072822369383,2375.0
