,precision,recall,f1-score,support
Attacking Midfielder,0.5964912280701754,0.22077922077922077,0.3222748815165877,154.0
Center Back,0.8875968992248062,0.9105367793240556,0.8989205103042198,503.0
Central Midfielder,0.5467980295566502,0.7070063694267515,0.6166666666666667,314.0
Defensive Midfielder,0.4883720930232558,0.3853211009174312,0.4307692307692308,218.0
Full Back,0.7107061503416856,0.7703703703703704,0.7393364928909952,405.0
Striker,0.8613333333333333,0.8947368421052632,0.8777173913043478,361.0
Wide Midfielder,0.5196078431372549,0.668769716088328,0.5848275862068966,317.0
Winger,0.5,0.009708737864077669,0.01904761904761905,103.0
accuracy,0.6930526315789474,0.6930526315789474,0.6930526315789474,0.6930526315789474
macro avg,0.6388631970858951,0.5709036421094373,0.5611950473383205,2375.0
weighted avg,0.6869362515743025,0.6930526315789474,0.6707233185468701,2375.0
