feature,importance
Vision,0.07193424622370391
DEF,0.06298147890062224
Heading Accuracy,0.05992600859446078
Positioning,0.05316598969535893
Sliding Tackle,0.04910721182970064
Interceptions,0.048067701080852315
Standing Tackle,0.04713959733636066
Finishing,0.044367970022362056
SHO,0.037961994314321484
Long Passing,0.033882031452105256
Jumping,0.03360519399204392
Strength,0.033233100773423174
Crossing,0.031473501603497094
Dribbling,0.02982837556862892
PAC,0.02911486182747032
Acceleration,0.026325516313164144
Long Shots,0.025939573156692996
Sprint Speed,0.02445257570194391
DRI,0.021882063293843495
PAS,0.021842839945333176
Volleys,0.019194232323406172
Curve,0.019034342523435954
PHY,0.01861360952347062
Agility,0.018281518643434146
Penalties,0.017353676988324258
Balance,0.017143118291755802
Short Passing,0.01651312880087912
Free Kick Accuracy,0.016471759733368514
Aggression,0.014767998806171157
Shot Power,0.011919296109613453
Stamina,0.011726886080333074
Composure,0.011400470006137512
Ball Control,0.010722355796565499
Reactions,0.010625774747215353
