Primary Position,Alternative Position,Count
Defensive Midfielder,Central Midfielder,1067
Central Midfielder,Defensive Midfielder,998
Right Back,Right Midfielder,905
Left Back,Left Midfielder,883
Left Midfielder,Left Winger,740
Attacking Midfielder,Central Midfielder,726
Right Midfielder,Right Winger,686
Central Midfielder,Attacking Midfielder,652
Striker,Attacking Midfielder,417
Left Midfielder,Right Midfielder,350
Center Back,Right Back,308
Right Midfielder,Left Midfielder,288
Left Winger,Left Midfielder,263
Defensive Midfielder,Center Back,254
Right Winger,Right Midfielder,253
Center Back,Left Back,252
Striker,Left Midfielder,223
Striker,Left Winger,210
Attacking Midfielder,Striker,209
Right Back,Left Back,201
Striker,Right Winger,189
Right Back,Center Back,185
Striker,Right Midfielder,176
Attacking Midfielder,Right Midfielder,168
Left Midfielder,Striker,167
Attacking Midfielder,Left Midfielder,167
Left Midfielder,Attacking Midfielder,163
Center Back,Defensive Midfielder,160
Right Midfielder,Right Back,151
Left Back,Center Back,142
Right Midfielder,Attacking Midfielder,139
Left Midfielder,Left Back,138
Center Back,Right Midfielder,132
Right Midfielder,Striker,126
Center Back,Left Midfielder,113
Central Midfielder,Right Midfielder,111
Left Winger,Right Winger,96
Center Back,Central Midfielder,93
Central Midfielder,Center Back,89
Left Back,Right Back,88
Central Midfielder,Left Midfielder,82
Left Midfielder,Central Midfielder,82
Right Winger,Left Winger,81
Striker,Central Midfielder,75
Attacking Midfielder,Left Winger,70
Left Winger,Striker,66
Right Midfielder,Central Midfielder,66
Right Back,Right Winger,58
Attacking Midfielder,Right Winger,56
Central Midfielder,Right Winger,55
Right Winger,Attacking Midfielder,54
Right Winger,Striker,52
Left Winger,Attacking Midfielder,49
Left Back,Left Winger,48
Right Back,Central Midfielder,47
Central Midfielder,Striker,39
Central Midfielder,Right Back,38
Central Midfielder,Left Winger,37
Attacking Midfielder,Defensive Midfielder,37
Right Back,Left Midfielder,35
Left Back,Central Midfielder,35
Defensive Midfielder,Attacking Midfielder,35
Right Midfielder,Left Winger,32
Right Back,Defensive Midfielder,31
Defensive Midfielder,Right Back,28
Central Midfielder,Left Back,25
Defensive Midfielder,Right Midfielder,25
Left Back,Right Midfielder,25
Right Winger,Central Midfielder,24
Left Winger,Right Midfielder,20
Left Midfielder,Right Winger,20
Defensive Midfielder,Left Back,16
Right Winger,Left Midfielder,13
Left Winger,Central Midfielder,12
Left Back,Defensive Midfielder,10
Right Midfielder,Left Back,9
Defensive Midfielder,Left Midfielder,9
Left Midfielder,Right Back,8
Left Winger,Left Back,6
Right Winger,Right Back,5
Right Back,Striker,4
Right Back,Attacking Midfielder,4
Defensive Midfielder,Right Winger,4
Left Back,Attacking Midfielder,4
Right Midfielder,Center Back,4
Left Back,Right Winger,4
Striker,Right Back,4
Right Back,Left Winger,4
Right Midfielder,Defensive Midfielder,4
Left Midfielder,Defensive Midfielder,3
Attacking Midfielder,Left Back,2
Center Back,Striker,2
Striker,Left Back,2
Right Winger,Left Back,2
Attacking Midfielder,Right Back,1
Defensive Midfielder,Striker,1
Center Back,Attacking Midfielder,1
Center Back,Right Winger,1
Striker,Defensive Midfielder,1
Striker,Center Back,1
Left Back,Striker,1
Center Back,Left Winger,1
