Primary Functional Role,Alternative Functional Role,Count
Fullback,Wide Midfielder,1812
Wide Midfielder,Winger,1427
Defensive Midfielder,Central Midfielder,1067
Central Midfielder,Defensive Midfielder,998
Attacking Midfielder,Central Midfielder,726
Central Midfielder,Attacking Midfielder,652
Center Back,Fullback,531
Winger,Wide Midfielder,516
Striker,Attacking Midfielder,417
Striker,Wide Midfielder,360
Striker,Winger,355
Fullback,Center Back,327
Wide Midfielder,Attacking Midfielder,302
Wide Midfielder,Fullback,294
Attacking Midfielder,Wide Midfielder,293
Wide Midfielder,Striker,293
Defensive Midfielder,Center Back,254
Center Back,Wide Midfielder,245
Attacking Midfielder,Striker,209
Central Midfielder,Wide Midfielder,181
Center Back,Defensive Midfielder,160
Wide Midfielder,Central Midfielder,148
Winger,Striker,118
Attacking Midfielder,Winger,118
Fullback,Winger,112
Winger,Attacking Midfielder,103
Center Back,Central Midfielder,93
Central Midfielder,Winger,89
Central Midfielder,Center Back,89
Fullback,Central Midfielder,82
Striker,Central Midfielder,75
Central Midfielder,Fullback,61
Defensive Midfielder,Fullback,42
Fullback,Defensive Midfielder,41
Central Midfielder,Striker,39
Attacking Midfielder,Defensive Midfielder,37
Winger,Central Midfielder,36
Defensive Midfielder,Attacking Midfielder,35
Defensive Midfielder,Wide Midfielder,33
Winger,Fullback,12
Fullback,Attacking Midfielder,8
Wide Midfielder,Defensive Midfielder,7
Striker,Fullback,6
Fullback,Striker,5
Defensive Midfielder,Winger,4
Wide Midfielder,Center Back,4
Attacking Midfielder,Fullback,3
Center Back,Winger,2
Center Back,Striker,2
Defensive Midfielder,Striker,1
Center Back,Attacking Midfielder,1
Striker,Defensive Midfielder,1
Striker,Center Back,1
