Name,Position,Primary Functional Role,Official Alternative Functional Roles,Official Eligible Functional Roles,Primary Functional Role Suitability,Best Official Alternative Functional Role,Best Official Alternative Role Suitability,Learned Role Rank 1,Learned Role Rank 1 Probability,Learned Role Rank 2,Learned Role Rank 2 Probability
Mohamed Salah,Right Midfielder,Wide Midfielder,Winger,Wide Midfielder|Winger,0.1640314798039888,Winger,0.6368583257414466,Winger,0.6368583257414466,Attacking Midfielder,0.1658214189389348
Kylian Mbappé,Striker,Striker,Winger|Wide Midfielder,Striker|Winger|Wide Midfielder,0.558714811362496,Winger,0.31555575011706294,Striker,0.558714811362496,Winger,0.31555575011706294
Ousmane Dembélé,Striker,Striker,Winger|Attacking Midfielder,Striker|Winger|Attacking Midfielder,0.18004479155291994,Winger,0.40766877153644904,Winger,0.40766877153644904,Attacking Midfielder,0.24365719102408992
Rodri,Defensive Midfielder,Defensive Midfielder,Central Midfielder,Defensive Midfielder|Central Midfielder,0.7348234047894615,Central Midfielder,0.26060725025310855,Defensive Midfielder,0.7348234047894615,Central Midfielder,0.26060725025310855
Virgil van Dijk,Center Back,Center Back,,Center Back,0.9961802750195613,,,Center Back,0.9961802750195613,Defensive Midfielder,0.0038194802442080003
Jude Bellingham,Attacking Midfielder,Attacking Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder,0.37943478736666286,Central Midfielder,0.606425879007825,Central Midfielder,0.606425879007825,Attacking Midfielder,0.37943478736666286
Erling Haaland,Striker,Striker,,Striker,0.9999611285147314,,,Striker,0.9999611285147314,Attacking Midfielder,2.691277294584452e-05
Raphinha,Left Midfielder,Wide Midfielder,Winger,Wide Midfielder|Winger,0.25599999299255427,Winger,0.5729705649069409,Winger,0.5729705649069409,Wide Midfielder,0.25599999299255427
Achraf Hakimi,Right Back,Fullback,Wide Midfielder,Fullback|Wide Midfielder,0.8337612402261589,Wide Midfielder,0.11142641706040415,Fullback,0.8337612402261589,Wide Midfielder,0.11142641706040415
Lamine Yamal,Right Midfielder,Wide Midfielder,Winger,Wide Midfielder|Winger,0.23225104735700602,Winger,0.6654185385961279,Winger,0.6654185385961279,Wide Midfielder,0.23225104735700602
Vitinha,Central Midfielder,Central Midfielder,Defensive Midfielder|Attacking Midfielder,Central Midfielder|Defensive Midfielder|Attacking Midfielder,0.795899749002126,Attacking Midfielder,0.1764842995674468,Central Midfielder,0.795899749002126,Attacking Midfielder,0.1764842995674468
Pedri,Central Midfielder,Central Midfielder,Defensive Midfielder|Attacking Midfielder,Central Midfielder|Defensive Midfielder|Attacking Midfielder,0.8770553125530485,Attacking Midfielder,0.07517817800887867,Central Midfielder,0.8770553125530485,Attacking Midfielder,0.07517817800887867
