ID,Name,OVR,Original Position,Functional Role,Is Primary Functional Role,Is Official Alternative Functional Role,Is Officially Eligible,Role Suitability Probability
209331,Mohamed Salah,91,Right Midfielder,Attacking Midfielder,False,False,False,0.1658214189389348
209331,Mohamed Salah,91,Right Midfielder,Center Back,False,False,False,8.896990357533565e-19
209331,Mohamed Salah,91,Right Midfielder,Central Midfielder,False,False,False,4.236387774216749e-05
209331,Mohamed Salah,91,Right Midfielder,Defensive Midfielder,False,False,False,5.258605275937593e-12
209331,Mohamed Salah,91,Right Midfielder,Fullback,False,False,False,1.8355184348225218e-10
209331,Mohamed Salah,91,Right Midfielder,Striker,False,False,False,0.03324641144907711
209331,Mohamed Salah,91,Right Midfielder,Wide Midfielder,True,False,True,0.1640314798039888
209331,Mohamed Salah,91,Right Midfielder,Winger,False,True,True,0.6368583257414466
231747,Kylian Mbappé,91,Striker,Attacking Midfielder,False,False,False,0.05866544162253295
231747,Kylian Mbappé,91,Striker,Center Back,False,False,False,1.0163870340003159e-20
231747,Kylian Mbappé,91,Striker,Central Midfielder,False,False,False,6.150644204075367e-07
231747,Kylian Mbappé,91,Striker,Defensive Midfielder,False,False,False,2.9704511576367528e-15
231747,Kylian Mbappé,91,Striker,Fullback,False,False,False,5.389696380780872e-13
231747,Kylian Mbappé,91,Striker,Striker,True,False,True,0.558714811362496
231747,Kylian Mbappé,91,Striker,Wide Midfielder,False,True,True,0.06706338183294591
231747,Kylian Mbappé,91,Striker,Winger,False,True,True,0.31555575011706294
231443,Ousmane Dembélé,90,Striker,Attacking Midfielder,False,True,True,0.24365719102408992
231443,Ousmane Dembélé,90,Striker,Center Back,False,False,False,7.136141183123943e-18
231443,Ousmane Dembélé,90,Striker,Central Midfielder,False,False,False,2.160789781911648e-05
231443,Ousmane Dembélé,90,Striker,Defensive Midfielder,False,False,False,2.367887998864063e-12
231443,Ousmane Dembélé,90,Striker,Fullback,False,False,False,7.436740311022085e-11
231443,Ousmane Dembélé,90,Striker,Striker,True,False,True,0.18004479155291994
231443,Ousmane Dembélé,90,Striker,Wide Midfielder,False,False,False,0.16860763791198674
231443,Ousmane Dembélé,90,Striker,Winger,False,True,True,0.40766877153644904
231866,Rodri,90,Defensive Midfielder,Attacking Midfielder,False,False,False,0.001579871907375827
231866,Rodri,90,Defensive Midfielder,Center Back,False,False,False,0.0027903038786069503
231866,Rodri,90,Defensive Midfielder,Central Midfielder,False,True,True,0.26060725025310855
231866,Rodri,90,Defensive Midfielder,Defensive Midfielder,True,False,True,0.7348234047894615
231866,Rodri,90,Defensive Midfielder,Fullback,False,False,False,0.00018532418430335635
231866,Rodri,90,Defensive Midfielder,Striker,False,False,False,1.6843864340444007e-06
231866,Rodri,90,Defensive Midfielder,Wide Midfielder,False,False,False,1.0449496916538002e-05
231866,Rodri,90,Defensive Midfielder,Winger,False,False,False,1.7111037930826955e-06
203376,Virgil van Dijk,90,Center Back,Attacking Midfielder,False,False,False,4.515841584642454e-12
203376,Virgil van Dijk,90,Center Back,Center Back,True,False,True,0.9961802750195613
203376,Virgil van Dijk,90,Center Back,Central Midfielder,False,False,False,1.7286805779969943e-07
