Name,Position,Team,League,OVR,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,ProtectionContribution,DistributionContribution,GoalkeeperSkill,StyleGap,GoalkeeperStyle,PC1,PC2
André Gomes,Goalkeeper,FC Alverca,Liga Portugal,69,70.0,67.0,77.0,64.0,70.0,67.75,77.0,69.6,9.25,Distribution Focused,0.6688265053535672,1.6299528095210474
Ivan Lučić,Goalkeeper,Hajduk Split,Liga Hrvatska,68,60.0,65.0,75.0,67.0,71.0,65.75,75.0,67.6,9.25,Distribution Focused,-0.14545311007995584,1.8300992473111264
Jacob Rinne,Goalkeeper,Djurgårdens IF,Allsvenskan,68,67.0,66.0,74.0,66.0,69.0,67.0,74.0,68.4,7.0,Distribution Focused,0.21786136939930936,1.3917722941690185
Tobias Sippel,Goalkeeper,M'gladbach,Bundesliga,66,64.0,62.0,74.0,66.0,64.0,64.0,74.0,66.0,10.0,Distribution Focused,-0.7504391917528949,1.8751807200369732
Ricardo Friedrich,Goalkeeper,HJK Helsinki,Finnliiga,66,67.0,64.0,74.0,63.0,68.0,65.5,74.0,67.2,8.5,Distribution Focused,-0.26257292176591907,1.518889541059572
Quentin Braat,Goalkeeper,Rodez AF,Ligue 2 BKT,68,68.0,65.0,73.0,67.0,68.0,67.0,73.0,68.2,6.0,Distribution Focused,0.1515217045107593,1.2394611512616747
Ernesto Hernández,Goalkeeper,Boston River,Sudamericana,64,57.0,65.0,73.0,70.0,62.0,63.5,73.0,65.4,9.5,Distribution Focused,-0.9824195818210236,2.11408103202896
Ryan Allsop,Goalkeeper,Birmingham City,EFL Championship,68,66.0,67.0,72.0,66.0,69.0,67.0,72.0,68.0,5.0,Distribution Focused,0.08649917934489468,1.1375542261899907
Christian Joel Sánchez,Goalkeeper,R. Sporting,LALIGA HYPERMOTION,66,66.0,64.0,72.0,64.0,67.0,65.25,72.0,66.6,6.75,Distribution Focused,-0.4763973102313118,1.3157125491421082
Justin Heekeren,Goalkeeper,FC Schalke 04,Bundesliga 2,66,66.0,58.0,72.0,66.0,71.0,65.25,72.0,66.6,6.75,Distribution Focused,-0.5163521737479047,1.1757165376533578
Marco Bleve,Goalkeeper,Carrarese Calcio,Serie BKT,66,69.0,66.0,72.0,65.0,68.0,67.0,72.0,68.0,5.0,Distribution Focused,0.0947575563897855,1.0508927721853933
Tim Erlandsson,Goalkeeper,Halmstads BK,Allsvenskan,65,65.0,64.0,72.0,63.0,62.0,63.5,72.0,65.2,8.5,Distribution Focused,-1.0217936943231374,1.6402601885342167
Ondřej Kolář,Goalkeeper,Slavia Praha,Česká Liga,67,66.0,64.0,71.0,68.0,68.0,66.5,71.0,67.4,4.5,Distribution Focused,-0.15205434287404027,1.0571018089604352
Jakob Haugaard,Goalkeeper,Tromsø IL,Eliteserien,67,65.0,66.0,71.0,66.0,66.0,65.75,71.0,66.8,5.25,Distribution Focused,-0.37717745008953024,1.2137423802752252
Luis Barraza,Goalkeeper,D.C. United,MLS,64,64.0,63.0,71.0,66.0,61.0,63.5,71.0,65.0,7.5,Distribution Focused,-1.0962961012491943,1.569655175590801
Régis Gurtner,Goalkeeper,RC Lens,Ligue 1 McDonald's,69,65.0,66.0,70.0,70.0,66.0,66.75,70.0,67.4,3.25,Distribution Focused,-0.12970690038702973,1.0058132209274735
Alaa Bellaarouch,Goalkeeper,SC Braga,Liga Portugal,68,71.0,63.0,70.0,68.0,69.0,67.75,70.0,68.2,2.25,Distribution Focused,0.18710569882079128,0.5945852390965851
Marco Festa,Goalkeeper,Mantova,Serie BKT,68,67.0,66.0,70.0,70.0,69.0,68.0,70.0,68.4,2.0,Distribution Focused,0.2660260194140074,0.7417756782212432
Santiago Silva,Goalkeeper,América de Cali,Sudamericana,68,68.0,66.0,70.0,65.0,69.0,67.0,70.0,67.6,3.0,Distribution Focused,-0.043798459165673743,0.7614959537203564
Antony Iannarilli,Goalkeeper,Avellino,Serie BKT,67,64.0,66.0,70.0,66.0,68.0,66.0,70.0,66.8,4.0,Distribution Focused,-0.37242574809428436,1.0210197998429416
Brad Collins,Goalkeeper,Burton Albion,EFL League One,66,67.0,63.0,70.0,66.0,67.0,65.75,70.0,66.6,4.25,Distribution Focused,-0.4538233949614163,0.9502206714138994
Kayne van Oevelen,Goalkeeper,FC Volendam,Eredivisie,66,66.0,61.0,70.0,67.0,66.0,65.0,70.0,66.0,5.0,Distribution Focused,-0.7029096699465721,1.072760977925609
Hobie Verhulst,Goalkeeper,AZ,Eredivisie,65,64.0,63.0,70.0,65.0,65.0,64.25,70.0,65.4,5.75,Distribution Focused,-0.9337181929256532,1.234716368508711
Martín Rodríguez,Goalkeeper,Guaraní,Sudamericana,65,69.0,60.0,70.0,69.0,65.0,65.75,70.0,66.6,4.25,Distribution Focused,-0.4592219057028555,0.9406695185602038
Leandro Requena,Goalkeeper,Deportes Iquique,Sudamericana,64,64.0,62.0,70.0,63.0,63.0,63.0,70.0,64.4,7.0,Distribution Focused,-1.3284821961902282,1.3818690307650041
