ID,Suitability: Attacking Midfielder,Suitability: Center Back,Suitability: Central Midfielder,Suitability: Defensive Midfielder,Suitability: Full Back,Suitability: Striker,Suitability: Wide Midfielder,Suitability: Winger
20801,,,,,,89.51,,
25798,,,,,,79.718,,
69957,,,,,72.914,,,
69963,,,,,,75.136,58.82808701682104,61.08356242827682
69965,,,69.78,,,,,
69967,,,,,,79.74,57.67345191078428,
69987,59.38849956024076,,,,,,74.78,52.717635726589904
69992,,,,,,75.69800000000001,,
69996,,,,,71.28999999999999,,,
69997,,,78.27,56.17873818502173,,,,
70004,,,80.67,,,,,
70005,54.267582041837244,,,,,,77.088,
70007,,72.60978524568254,,76.94,,,,
70011,,,75.496,,,,,
70012,,,,,75.482,,,
70014,71.9,,,,,,70.41356605890702,50.054835581641555
70015,,71.74000000000001,,,,,,
70017,61.47135639125209,,,,,,72.946,54.07802573889168
70018,,70.83812581481473,,,69.45,,,
70020,,,78.352,60.62538200707317,,,,
70022,73.24,,67.52133415950235,,,,,
70025,,71.7,,,,,,
70026,,,,,,63.894260516281335,72.234,
70035,,,,,,,72.956,53.54900097570024
70049,,,,,,71.54599999999999,,
70053,50.78382244405954,,73.346,,,,,
70069,,,72.50399999999999,,,,,
70084,,76.4,,,,,,
70092,,,,,,52.9262122557718,71.354,51.07953449822162
70096,52.44206016489778,,72.536,,,,,
70103,,72.0,,,,,,
70104,,74.95,,,,,,
70105,,74.0,,,,,,
70107,,,,,72.9,,,
70108,,,,,72.79,,,
70109,,,70.862,53.38136918198916,,,,
70111,,,73.498,53.87060973192043,,,,
70114,,,74.844,,,,,
70115,,,50.488321753317656,61.130854911955936,,,71.406,
70120,,,,,74.31,,,
70124,,53.24109862084275,49.90335275252579,72.91,,,,
70126,,,,,,72.584,,
70129,60.10167853599974,,,,,,63.400106541627,77.354
70136,,72.52,,,,,,
70138,,73.12,,,,,,
70149,,,,,,71.96000000000001,,
70160,,77.65,,,,,,
70162,71.2,,64.940832097541,50.882266736988484,,,,
70163,,,71.842,,,,,
70164,,,,,54.078103533739416,52.10673043598965,72.674,
70166,72.58,,62.87738419127885,,,,,
70168,,56.700108873251125,,,71.488,,,
70170,,52.174673625654705,,,72.06,,,
70176,,75.34,,,68.39967928615859,,,
70185,,,,,74.492,,54.498457538743025,
70186,69.63,,,,,,59.79843399516614,48.8580046395517
70187,,,,,,73.55199999999999,,
70191,71.05,,,,,,50.29515670484382,48.32605762873297
70192,,73.26,,,,,,
70195,,,52.52495289489047,75.42,,,,
70198,,,,,,70.17931846598763,75.368,
70203,,,74.748,60.2363424621671,,,,
70214,,76.43,,,,,,
70228,69.93,,,,,49.60545864465518,55.02647779964518,
70229,,73.16144859581894,,74.8,,,,
70230,,,53.93916574694326,70.87,,,,
70237,,,,,,70.364,,
70241,,,,,,,70.586,50.27356742997376
70249,,,,,,73.814,,
70252,,77.11,,,,,,
70253,,73.74,,,49.44102478209396,,,
70264,,,,,72.22800000000001,,50.00839894477084,
70265,,,67.01665980756638,75.49,,,,
70268,,,,,,,71.74,54.89815226470543
70273,,,,,,70.884,,
70275,71.62,,,,,,56.49442378972584,52.293661036517165
70277,,72.36,,,,,,
70283,52.09066327217733,,73.384,,,,,
70291,52.87442888250685,,73.572,,,,,
70295,,73.06,,51.15351557301662,,,,
70297,,,,,72.42,,60.99270195684948,
70298,,,75.228,62.90931392950664,,,,
70301,,,,,,74.004,,
70327,,,,,,70.99600000000001,56.59382910134279,51.82481404853046
70328,52.242833760105974,,,,,,57.642285292806115,71.428
70330,,,,,71.474,,54.041751193663124,
70331,54.04850742231372,,73.242,,,,,
70332,,75.06,,,,,,
70333,,,,,,76.806,,
70334,64.18457835909778,,,,,,60.679119286321104,78.666
70335,,,61.556571742510044,76.13,,,,
70344,,,,,78.894,,,
70415,,,,,,80.34,,
70419,,,77.032,56.83790141307157,,,,
70427,,,,,,,77.154,61.4731817806048
70430,,,,,,,71.428,63.23981242762767
70436,,,,,,70.366,,
70438,72.25999999999999,,,,,,66.87423965445325,53.88798571920657
70440,,,,,,63.410319585222375,51.57062407385934,73.924
70441,77.1,,,,,,56.31192478745898,
70448,,,,,74.56,,62.96727461020081,
70450,,,,51.635546623781345,72.75999999999999,,,
70458,,,,,,,71.98400000000001,56.384235593433075
70460,,,,,,71.818,,
70462,,72.4,,,,,,
70465,70.01,,62.63959570590288,,,,,
70471,53.76521628424063,,75.206,,,,60.81379372525913,
70473,,,,,73.29599999999999,,,
70475,,,,,,,55.84184572749464,74.324
70477,58.24009515865164,,73.324,,,,53.355935009061504,
70480,,,,,,72.166,59.69613361292992,59.38787982327685
70481,,,70.648,50.71907151901094,,,,
70482,,76.64,,,,,,
70496,,,,,,51.93102096570299,75.45,60.13939510785291
70497,77.72,,,,,,59.39775633316333,56.64412306992734
70500,,,59.54528806757317,72.47,,,,
70511,,,,,,70.348,56.77679683972026,54.65301883355537
70539,,,,,,70.678,,
70545,,,,,,,72.126,49.83735055173655
70550,,75.18,,,,,,
70569,,,75.48,61.979009018620935,,,,
70571,,,,,,,73.61085265330775,82.252
70577,,73.34,,,,,,
70582,,55.12501792125425,,,75.2,,,
70626,,,,,,,61.41604664220607,72.636
70628,59.06981926228844,,,,,,66.0783845714259,77.19200000000001
70631,47.50656752763727,,,,,,71.308,52.917106836512176
70650,,,,,,76.462,54.58880130598543,
70651,,,,,,,80.294,63.266537513547
70670,,,,,76.55199999999999,,,
70671,,,,,78.788,,,
70676,,,70.834,47.86543326686068,,,,
70679,,76.73,,,,,,
70680,,,60.6908872419103,50.84162981036715,,,70.994,
70685,,,,,,,72.74,54.840191544433644
70687,49.672812039775856,,65.98963135452516,,,,,72.724
70689,,,71.164,68.52902127158275,,,,
70690,51.65956586150606,,68.40941757239096,,,,75.658,
70693,,77.86,,,,,,
70694,53.712398432120594,,74.94800000000001,,,,,
70697,,76.46000000000001,,,,,,
70699,,70.93,,,,,,
70701,,,,,76.592,,,
70703,,,,,,,66.99894084344793,78.69200000000001
70710,56.5693865401148,,72.872,,,,,
70711,,,,,,,72.292,
70712,,,,,,73.08,,
