ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
256630,Florian Wirtz,Attacking Midfielder,Liverpool,Premier League,Germany,89,Right,"['ST', 'CM']",22,"177cm / 5'10""",71kg / 157lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,87.8,91.27
257534,Cole Palmer,Attacking Midfielder,Chelsea,Premier League,England,87,Left,"['RM', 'ST']",23,"185cm / 6'1""",76kg / 168lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,86.6,90.09
252371,Jude Bellingham,Attacking Midfielder,Real Madrid,LALIGA EA SPORTS,England,90,Right,['CM'],22,"186cm / 6'1""",75kg / 165lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,83.65,89.96
212198,Bruno Fernandes,Attacking Midfielder,Man Utd,Premier League,Portugal,87,Right,['CM'],31,"179cm / 5'10""",69kg / 152lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,85.75,89.75
211110,Paulo Dybala,Attacking Midfielder,AS Roma,Serie A Enilive,Argentina,86,Left,['ST'],32,"177cm / 5'10""",75kg / 165lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,85.2,89.18
256790,Jamal Musiala,Attacking Midfielder,FC Bayern München,Bundesliga,Germany,88,Right,"['LM', 'CM', 'ST']",23,"184cm / 6'0""",72kg / 159lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,82.8,88.91999999999999
197781,Isco,Attacking Midfielder,Real Betis,LALIGA EA SPORTS,Spain,84,Right,"['LM', 'CM']",33,"176cm / 5'9""",79kg / 174lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,84.65,88.26
244260,Dani Olmo,Attacking Midfielder,FC Barcelona,LALIGA EA SPORTS,Spain,85,Right,"['CM', 'ST']",27,"179cm / 5'10""",72kg / 159lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,82.7,87.83
240950,Pedro Gonçalves,Attacking Midfielder,Sporting CP,Liga Portugal,Portugal,83,Right,"['LM', 'CM']",27,"173cm / 5'8""",78kg / 172lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,83.8,87.57
236772,Dominik Szoboszlai,Attacking Midfielder,Liverpool,Premier League,Hungary,83,Right,['CM'],25,"186cm / 6'1""",74kg / 163lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,83.45,87.43
244675,Sancet,Attacking Midfielder,Athletic Club,LALIGA EA SPORTS,Spain,84,Right,"['CM', 'ST']",25,"188cm / 6'2""",77kg / 170lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,82.15,87.26
240243,Matheus Cunha,Attacking Midfielder,Man Utd,Premier League,Brazil,83,Right,"['LW', 'ST']",26,"183cm / 6'0""",76kg / 168lb,Attacking Midfielder,Attacking Midfielder,Official Position,100.0,82.85,87.19
