ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
203376,Virgil van Dijk,Center Back,Liverpool,Premier League,Holland,90,Right,,34,"193cm / 6'4""",92kg / 203lb,Center Back,Center Back,Official Position,100.0,89.55,92.32
232580,Gabriel,Center Back,Arsenal,Premier League,Brazil,88,Left,,28,"190cm / 6'3""",87kg / 192lb,Center Back,Center Back,Official Position,100.0,87.9,90.96000000000001
213331,Jonathan Tah,Center Back,FC Bayern München,Bundesliga,Germany,87,Right,,30,"195cm / 6'5""",94kg / 207lb,Center Back,Center Back,Official Position,100.0,86.75,90.15
207865,Marquinhos,Center Back,Paris SG,Ligue 1 McDonald's,Brazil,87,Right,,31,"183cm / 6'0""",75kg / 165lb,Center Back,Center Back,Official Position,100.0,86.4,90.01
243715,William Saliba,Center Back,Arsenal,Premier League,France,87,Right,,25,"193cm / 6'4""",85kg / 187lb,Center Back,Center Back,Official Position,100.0,86.05,89.87
237383,Alessandro Bastoni,Center Back,Lombardia FC,Serie A Enilive,Italy,87,Left,,26,"190cm / 6'3""",75kg / 165lb,Center Back,Center Back,Official Position,100.0,85.95,89.83
239818,Rúben Dias,Center Back,Manchester City,Premier League,Portugal,86,Right,,28,"187cm / 6'2""",82kg / 181lb,Center Back,Center Back,Official Position,100.0,86.5,89.7
205452,Antonio Rüdiger,Center Back,Real Madrid,LALIGA EA SPORTS,Germany,86,Right,,33,"190cm / 6'3""",85kg / 187lb,Center Back,Center Back,Official Position,100.0,86.05,89.52
237678,Ibrahima Konaté,Center Back,Liverpool,Premier League,France,86,Right,,26,"194cm / 6'4""",95kg / 209lb,Center Back,Center Back,Official Position,100.0,85.7,89.38
256196,Willian Pacho,Center Back,Paris SG,Ligue 1 McDonald's,Ecuador,86,Left,,24,"188cm / 6'2""",81kg / 179lb,Center Back,Center Back,Official Position,100.0,85.1,89.14
239580,Bremer,Center Back,Juventus,Serie A Enilive,Brazil,85,Right,,29,"187cm / 6'2""",84kg / 185lb,Center Back,Center Back,Official Position,100.0,85.45,88.92999999999999
247819,Nico Schlotterbeck,Center Back,Borussia Dortmund,Bundesliga,Germany,85,Left,,26,"191cm / 6'3""",86kg / 190lb,Center Back,Center Back,Official Position,100.0,85.35000000000001,88.89
204525,Iñigo Martínez,Center Back,Al Nassr,ROSHN Saudi League,Spain,85,Left,,34,"182cm / 6'0""",76kg / 168lb,Center Back,Center Back,Official Position,100.0,85.35,88.89
229558,Dayot Upamecano,Center Back,FC Bayern München,Bundesliga,France,85,Right,,27,"186cm / 6'1""",90kg / 198lb,Center Back,Center Back,Official Position,100.0,84.85,88.69
204638,Willi Orban,Center Back,RB Leipzig,Bundesliga,Hungary,84,Right,,33,"186cm / 6'1""",89kg / 196lb,Center Back,Center Back,Official Position,100.0,85.05,88.42
199845,Francesco Acerbi,Center Back,Lombardia FC,Serie A Enilive,Italy,84,Left,,38,"192cm / 6'4""",88kg / 194lb,Center Back,Center Back,Official Position,100.0,84.95,88.38
248550,Vivian,Center Back,Athletic Club,LALIGA EA SPORTS,Spain,84,Right,,26,"183cm / 6'0""",83kg / 183lb,Center Back,Center Back,Official Position,100.0,84.45,88.18
238095,Nikola Milenković,Center Back,Nott'm Forest,Premier League,Serbia,83,Right,,28,"195cm / 6'5""",90kg / 198lb,Center Back,Center Back,Official Position,100.0,85.0,88.05
226851,Benjamin Pavard,Center Back,OM,Ligue 1 McDonald's,France,84,Right,,30,"186cm / 6'1""",81kg / 179lb,Center Back,Center Back,Official Position,100.0,84.05,88.02
240130,Éder Militão,Center Back,Real Madrid,LALIGA EA SPORTS,Brazil,84,Right,,28,"186cm / 6'1""",79kg / 174lb,Center Back,Center Back,Official Position,100.0,84.0,88.0
216460,José María Giménez,Center Back,Atlético de Madrid,LALIGA EA SPORTS,Uruguay,83,Right,,31,"185cm / 6'1""",79kg / 174lb,Center Back,Center Back,Official Position,100.0,84.65,87.91
278016,Murillo,Center Back,Nott'm Forest,Premier League,Brazil,83,Left,,23,"180cm / 5'11""",75kg / 165lb,Center Back,Center Back,Official Position,100.0,84.0,87.65
253163,Ronald Araujo,Center Back,FC Barcelona,LALIGA EA SPORTS,Uruguay,83,Right,['RB'],27,"188cm / 6'2""",79kg / 174lb,Center Back,Center Back,Official Position,100.0,83.85,87.59
233486,Robin Le Normand,Center Back,Atlético de Madrid,LALIGA EA SPORTS,Spain,83,Right,,29,"187cm / 6'2""",80kg / 176lb,Center Back,Center Back,Official Position,100.0,83.65,87.50999999999999
247257,Ibañez,Center Back,Al Ahli,ROSHN Saudi League,Brazil,82,Right,,27,"185cm / 6'1""",73kg / 161lb,Center Back,Center Back,Official Position,100.0,84.4,87.46000000000001
