ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
251854,Pedri,Central Midfielder,FC Barcelona,LALIGA EA SPORTS,Spain,89,Right,"['CDM', 'CAM']",23,"174cm / 5'9""",60kg / 132lb,Central Midfielder,Central Midfielder,Official Position,100.0,87.17,91.018
255253,Vitinha,Central Midfielder,Paris SG,Ligue 1 McDonald's,Portugal,89,Right,"['CDM', 'CAM']",26,"172cm / 5'8""",64kg / 141lb,Central Midfielder,Central Midfielder,Official Position,100.0,86.76,90.854
239053,Federico Valverde,Central Midfielder,Real Madrid,LALIGA EA SPORTS,Uruguay,89,Right,"['CDM', 'RB']",27,"182cm / 6'0""",74kg / 163lb,Central Midfielder,Central Midfielder,Official Position,100.0,86.58,90.782
192985,Kevin De Bruyne,Central Midfielder,SSC Napoli,Serie A Enilive,Belgium,87,Right,['CAM'],34,"181cm / 5'11""",75kg / 165lb,Central Midfielder,Central Midfielder,Official Position,100.0,88.04,90.666
222665,Martin Ødegaard,Central Midfielder,Arsenal,Premier League,Norway,87,Left,['CAM'],27,"178cm / 5'10""",68kg / 150lb,Central Midfielder,Central Midfielder,Official Position,100.0,87.96,90.634
224232,Nicolò Barella,Central Midfielder,Lombardia FC,Serie A Enilive,Italy,87,Right,,29,"175cm / 5'9""",68kg / 150lb,Central Midfielder,Central Midfielder,Official Position,100.0,86.7,90.13
228702,Frenkie de Jong,Central Midfielder,FC Barcelona,LALIGA EA SPORTS,Holland,87,Right,['CDM'],28,"181cm / 5'11""",74kg / 163lb,Central Midfielder,Central Midfielder,Official Position,100.0,86.52,90.05799999999999
239837,Alexis Mac Allister,Central Midfielder,Liverpool,Premier League,Argentina,87,Right,['CDM'],27,"176cm / 5'9""",72kg / 159lb,Central Midfielder,Central Midfielder,Official Position,100.0,85.75,89.75
247851,Bruno Guimarães,Central Midfielder,Newcastle Utd,Premier League,Brazil,86,Right,['CDM'],28,"182cm / 6'0""",74kg / 163lb,Central Midfielder,Central Midfielder,Official Position,100.0,85.66,89.364
216393,Youri Tielemans,Central Midfielder,Aston Villa,Premier League,Belgium,85,Right,"['CDM', 'CAM']",28,"176cm / 5'9""",72kg / 159lb,Central Midfielder,Central Midfielder,Official Position,100.0,85.78,89.062
240638,Tijjani Reijnders,Central Midfielder,Manchester City,Premier League,Holland,86,Right,"['CDM', 'CAM']",27,"185cm / 6'1""",73kg / 161lb,Central Midfielder,Central Midfielder,Official Position,100.0,84.37,88.848
218667,Bernardo Silva,Central Midfielder,Manchester City,Premier League,Portugal,84,Left,"['RM', 'CDM', 'CAM']",31,"173cm / 5'8""",65kg / 143lb,Central Midfielder,Central Midfielder,Official Position,100.0,85.46,88.584
