ID,Name,Position,Team,League,Nation,OVR,Preferred foot,Alternative positions,Age,Height,Weight,Original Role Group,Evaluated Role,Role Source,Position Fit Score,Role Attribute Score,Player Role Suitability
231866,Rodri,Defensive Midfielder,Manchester City,Premier League,Spain,90,Right,['CM'],29,"190cm / 6'3""",82kg / 181lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,88.9,92.06
212622,Joshua Kimmich,Defensive Midfielder,FC Bayern München,Bundesliga,Germany,89,Right,"['RB', 'CM']",31,"177cm / 5'10""",75kg / 165lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,88.35,91.49
234378,Declan Rice,Defensive Midfielder,Arsenal,Premier League,England,87,Right,['CM'],27,"185cm / 6'1""",80kg / 176lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,86.8,90.17
256079,Moisés Caicedo,Defensive Midfielder,Chelsea,Premier League,Ecuador,87,Right,['CM'],24,"178cm / 5'10""",73kg / 161lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,85.95,89.83
208128,Hakan Çalhanoğlu,Defensive Midfielder,Lombardia FC,Serie A Enilive,Turkey,86,Right,['CM'],32,"178cm / 5'10""",69kg / 152lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.95,89.08
241096,Sandro Tonali,Defensive Midfielder,Newcastle Utd,Premier League,Italy,86,Right,['CM'],25,"181cm / 5'11""",79kg / 174lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.0,88.7
215914,N'Golo Kanté,Defensive Midfielder,Al Ittihad,ROSHN Saudi League,France,85,Right,['CM'],35,"168cm / 5'6""",70kg / 154lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.55,88.57
246104,Ryan Gravenberch,Defensive Midfielder,Liverpool,Premier League,Holland,85,Right,['CM'],23,"190cm / 6'3""",77kg / 170lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.25,88.45
199503,Granit Xhaka,Defensive Midfielder,Sunderland,Premier League,Switzerland,85,Left,['CM'],33,"186cm / 6'1""",80kg / 176lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.1,88.39
222077,Manuel Locatelli,Defensive Midfielder,Juventus,Serie A Enilive,Italy,84,Right,['CM'],28,"185cm / 6'1""",75kg / 165lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,83.95,87.98
223959,Lucas Torreira,Defensive Midfielder,Galatasaray,Trendyol Süper Lig,Uruguay,83,Right,['CM'],30,"166cm / 5'5""",60kg / 132lb,Defensive Midfielder,Defensive Midfielder,Official Position,100.0,84.2,87.72999999999999
