Method,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Accepted Exact Positions,Player Exact Eligible Positions
OVR Baseline,4-3-3,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,4-3-3,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,4-3-3,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,4-3-3,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,4-3-3,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,4-3-3,DM,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,4-3-3,CM1,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,4-3-3,CM2,Vitinha,255253,Central Midfielder,89.0,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,4-3-3,LW,Kylian Mbappé,231747,Striker,91.0,Left Winger,Left Midfielder|Left Winger|Striker
OVR Baseline,4-3-3,RW,Mohamed Salah,209331,Right Midfielder,91.0,Right Winger,Right Midfielder|Right Winger
OVR Baseline,4-3-3,ST,Ousmane Dembélé,231443,Striker,90.0,Striker,Attacking Midfielder|Right Winger|Striker
OVR Baseline,4-2-3-1,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,4-2-3-1,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,4-2-3-1,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,4-2-3-1,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,4-2-3-1,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,4-2-3-1,DM1,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,4-2-3-1,DM2,Vitinha,255253,Central Midfielder,89.0,Defensive Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,4-2-3-1,AM,Ousmane Dembélé,231443,Striker,90.0,Attacking Midfielder,Attacking Midfielder|Right Winger|Striker
OVR Baseline,4-2-3-1,LW,Kylian Mbappé,231747,Striker,91.0,Left Winger,Left Midfielder|Left Winger|Striker
OVR Baseline,4-2-3-1,RW,Mohamed Salah,209331,Right Midfielder,91.0,Right Winger,Right Midfielder|Right Winger
OVR Baseline,4-2-3-1,ST,Erling Haaland,239085,Striker,90.0,Striker,Striker
OVR Baseline,4-4-2,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,4-4-2,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,4-4-2,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,4-4-2,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,4-4-2,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,4-4-2,LM,Kylian Mbappé,231747,Striker,91.0,Left Midfielder,Left Midfielder|Left Winger|Striker
OVR Baseline,4-4-2,CM1,Rodri,231866,Defensive Midfielder,90.0,Central Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,4-4-2,CM2,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,4-4-2,RM,Mohamed Salah,209331,Right Midfielder,91.0,Right Midfielder,Right Midfielder|Right Winger
OVR Baseline,4-4-2,ST1,Ousmane Dembélé,231443,Striker,90.0,Striker,Attacking Midfielder|Right Winger|Striker
OVR Baseline,4-4-2,ST2,Erling Haaland,239085,Striker,90.0,Striker,Striker
OVR Baseline,4-1-2-1-2,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,4-1-2-1-2,LB,Nuno Mendes,252145,Left Back,86.0,Left Back,Left Back|Left Midfielder
OVR Baseline,4-1-2-1-2,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,4-1-2-1-2,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,4-1-2-1-2,RB,Achraf Hakimi,235212,Right Back,89.0,Right Back,Right Back|Right Midfielder
OVR Baseline,4-1-2-1-2,DM,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,4-1-2-1-2,CM1,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,4-1-2-1-2,CM2,Vitinha,255253,Central Midfielder,89.0,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,4-1-2-1-2,AM,Ousmane Dembélé,231443,Striker,90.0,Attacking Midfielder,Attacking Midfielder|Right Winger|Striker
OVR Baseline,4-1-2-1-2,ST1,Kylian Mbappé,231747,Striker,91.0,Striker,Left Midfielder|Left Winger|Striker
OVR Baseline,4-1-2-1-2,ST2,Erling Haaland,239085,Striker,90.0,Striker,Striker
OVR Baseline,3-5-2,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,3-5-2,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,3-5-2,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,3-5-2,CB3,Alessandro Bastoni,237383,Center Back,87.0,Center Back,Center Back
OVR Baseline,3-5-2,LWB,Kylian Mbappé,231747,Striker,91.0,Left Back|Left Midfielder,Left Midfielder|Left Winger|Striker
OVR Baseline,3-5-2,RWB,Mohamed Salah,209331,Right Midfielder,91.0,Right Back|Right Midfielder,Right Midfielder|Right Winger
OVR Baseline,3-5-2,DM,Rodri,231866,Defensive Midfielder,90.0,Defensive Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,3-5-2,CM1,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,3-5-2,CM2,Vitinha,255253,Central Midfielder,89.0,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
OVR Baseline,3-5-2,ST1,Ousmane Dembélé,231443,Striker,90.0,Striker,Attacking Midfielder|Right Winger|Striker
OVR Baseline,3-5-2,ST2,Erling Haaland,239085,Striker,90.0,Striker,Striker
OVR Baseline,3-4-3,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
