Method,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Accepted Exact Positions,Player Exact Eligible Positions
OVR Baseline,3-4-3,GK,Alisson,212831,Goalkeeper,89.0,Goalkeeper,Goalkeeper
OVR Baseline,3-4-3,CB1,Virgil van Dijk,203376,Center Back,90.0,Center Back,Center Back
OVR Baseline,3-4-3,CB2,Gabriel,232580,Center Back,88.0,Center Back,Center Back
OVR Baseline,3-4-3,CB3,Alessandro Bastoni,237383,Center Back,87.0,Center Back,Center Back
OVR Baseline,3-4-3,LWB,Kylian Mbappé,231747,Striker,91.0,Left Back|Left Midfielder,Left Midfielder|Left Winger|Striker
OVR Baseline,3-4-3,RWB,Mohamed Salah,209331,Right Midfielder,91.0,Right Back|Right Midfielder,Right Midfielder|Right Winger
OVR Baseline,3-4-3,CM1,Rodri,231866,Defensive Midfielder,90.0,Central Midfielder,Central Midfielder|Defensive Midfielder
OVR Baseline,3-4-3,CM2,Jude Bellingham,252371,Attacking Midfielder,90.0,Central Midfielder,Attacking Midfielder|Central Midfielder
OVR Baseline,3-4-3,LW,Raphinha,233419,Left Midfielder,89.0,Left Winger,Left Midfielder|Left Winger
OVR Baseline,3-4-3,RW,Ousmane Dembélé,231443,Striker,90.0,Right Winger,Attacking Midfielder|Right Winger|Striker
OVR Baseline,3-4-3,ST,Erling Haaland,239085,Striker,90.0,Striker,Striker
