Method,Role Adjustment Strength,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Quality Score,Role Fit Score,Role Fit Penalty,Selection Score,Accepted Exact Positions,Suitability Roles,Player Exact Eligible Positions
Role-Adjusted Quality,0.1,4-3-3,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,4-3-3,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back,Fullback,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,4-3-3,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-3-3,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-3-3,RB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back,Fullback,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,4-3-3,DM,Rodri,231866,Defensive Midfielder,90.0,0.9,0.7348234047894615,0.026517659521053852,0.8761341064310515,Defensive Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-3-3,CM1,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.012294468744695154,0.8790579228172213,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-3-3,CM2,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.0204100250997874,0.8718350776611892,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-3-3,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.0195209326914518,0.8726263699046078,Left Winger,Winger,Left Midfielder|Left Winger|Striker
Role-Adjusted Quality,0.1,4-3-3,RW,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.6368583257414466,0.03631416742585534,0.8769541076424716,Right Winger,Winger,Right Midfielder|Right Winger
Role-Adjusted Quality,0.1,4-3-3,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,3.8871485268598965e-06,0.8999965015663258,Striker,Striker,Striker
Role-Adjusted Quality,0.1,4-2-3-1,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,4-2-3-1,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back,Fullback,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,4-2-3-1,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-2-3-1,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-2-3-1,RB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back,Fullback,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,4-2-3-1,DM1,Rodri,231866,Defensive Midfielder,90.0,0.9,0.7348234047894615,0.026517659521053852,0.8761341064310515,Defensive Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-2-3-1,DM2,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.0017281133572538577,0.8684965413791891,Defensive Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-2-3-1,AM,Jamal Musiala,256790,Attacking Midfielder,88.0,0.88,0.92995252531437,0.007004747468563,0.8738358222276645,Attacking Midfielder,Attacking Midfielder,Attacking Midfielder|Central Midfielder|Left Midfielder|Striker
Role-Adjusted Quality,0.1,4-2-3-1,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.0195209326914518,0.8726263699046078,Left Winger,Winger,Left Midfielder|Left Winger|Striker
Role-Adjusted Quality,0.1,4-2-3-1,RW,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.6368583257414466,0.03631416742585534,0.8769541076424716,Right Winger,Winger,Right Midfielder|Right Winger
Role-Adjusted Quality,0.1,4-2-3-1,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,3.8871485268598965e-06,0.8999965015663258,Striker,Striker,Striker
Role-Adjusted Quality,0.1,4-4-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,4-4-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back,Fullback,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,4-4-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-4-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-4-2,RB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back,Fullback,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,4-4-2,LM,Kylian Mbappé,231747,Striker,91.0,0.91,0.0670633818329459,0.09329366181670541,0.8251027677467981,Left Midfielder,Wide Midfielder,Left Midfielder|Left Winger|Striker
Role-Adjusted Quality,0.1,4-4-2,CM1,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.012294468744695154,0.8790579228172213,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-4-2,CM2,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.0204100250997874,0.8718350776611892,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-4-2,RM,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.1640314798039888,0.08359685201960113,0.833926864662163,Right Midfielder,Wide Midfielder,Right Midfielder|Right Winger
Role-Adjusted Quality,0.1,4-4-2,ST1,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.0015819379600213847,0.888592075215581,Striker,Striker,Striker
Role-Adjusted Quality,0.1,4-4-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,3.8871485268598965e-06,0.8999965015663258,Striker,Striker,Striker
Role-Adjusted Quality,0.1,4-1-2-1-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,4-1-2-1-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back,Fullback,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,4-1-2-1-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-1-2-1-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,4-1-2-1-2,RB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back,Fullback,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,4-1-2-1-2,DM,Rodri,231866,Defensive Midfielder,90.0,0.9,0.7348234047894615,0.026517659521053852,0.8761341064310515,Defensive Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-1-2-1-2,CM1,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.012294468744695154,0.8790579228172213,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-1-2-1-2,CM2,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.0204100250997874,0.8718350776611892,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,4-1-2-1-2,AM,Jamal Musiala,256790,Attacking Midfielder,88.0,0.88,0.92995252531437,0.007004747468563,0.8738358222276645,Attacking Midfielder,Attacking Midfielder,Attacking Midfielder|Central Midfielder|Left Midfielder|Striker
Role-Adjusted Quality,0.1,4-1-2-1-2,ST1,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.0015819379600213847,0.888592075215581,Striker,Striker,Striker
Role-Adjusted Quality,0.1,4-1-2-1-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,3.8871485268598965e-06,0.8999965015663258,Striker,Striker,Striker
Role-Adjusted Quality,0.1,3-5-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,3-5-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-5-2,CB2,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,2.0099554144981104e-05,0.8699825133878939,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-5-2,CB3,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-5-2,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back|Left Midfielder,Fullback|Wide Midfielder,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,3-5-2,RWB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back|Right Midfielder,Fullback|Wide Midfielder,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,3-5-2,DM,Rodri,231866,Defensive Midfielder,90.0,0.9,0.7348234047894615,0.026517659521053852,0.8761341064310515,Defensive Midfielder,Defensive Midfielder,Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,3-5-2,CM1,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.012294468744695154,0.8790579228172213,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,3-5-2,CM2,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.0204100250997874,0.8718350776611892,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,3-5-2,ST1,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.0015819379600213847,0.888592075215581,Striker,Striker,Striker
Role-Adjusted Quality,0.1,3-5-2,ST2,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,3.8871485268598965e-06,0.8999965015663258,Striker,Striker,Striker
Role-Adjusted Quality,0.1,3-4-3,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.0128,0.878608,Goalkeeper,GoalkeeperSkill,Goalkeeper
Role-Adjusted Quality,0.1,3-4-3,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.00038197249804388105,0.8996562247517605,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-4-3,CB2,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,2.0099554144981104e-05,0.8699825133878939,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-4-3,CB3,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,2.9041785491956684e-05,0.8799744432287671,Center Back,Center Back,Center Back
Role-Adjusted Quality,0.1,3-4-3,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.0004971196019220026,0.8595724771423471,Left Back|Left Midfielder,Fullback|Wide Midfielder,Left Back|Left Midfielder
Role-Adjusted Quality,0.1,3-4-3,RWB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.8337612402261589,0.016623875977384107,0.8752047503801281,Right Back|Right Midfielder,Fullback|Wide Midfielder,Right Back|Right Midfielder
Role-Adjusted Quality,0.1,3-4-3,CM1,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.012294468744695154,0.8790579228172213,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,3-4-3,CM2,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.0204100250997874,0.8718350776611892,Central Midfielder,Central Midfielder,Attacking Midfielder|Central Midfielder|Defensive Midfielder
Role-Adjusted Quality,0.1,3-4-3,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.0195209326914518,0.8726263699046078,Left Winger,Winger,Left Midfielder|Left Winger|Striker
