Method,Role Adjustment Strength,Formation,Average OVR,Total OVR,Average Role Fit,Average Role Fit Penalty,Average Selection Score
Role-Adjusted Quality,0.1,4-3-3,89.0909090909091,980.0,0.8678244086416252,0.013217559135837487,0.8790563619568972
Role-Adjusted Quality,0.1,4-2-3-1,88.81818181818181,977.0,0.8896168022949577,0.011038319770504242,0.8782781222413013
Role-Adjusted Quality,0.1,4-4-2,89.18181818181819,981.0,0.7804428703162007,0.021955712968379934,0.8719570095611164
Role-Adjusted Quality,0.1,4-1-2-1-2,88.81818181818181,977.0,0.9107775129041006,0.008922248709589964,0.8802243092201851
Role-Adjusted Quality,0.1,3-5-2,88.72727272727273,976.0,0.9171271928262986,0.008287280717370145,0.8798740084165697
Role-Adjusted Quality,0.1,3-4-3,88.81818181818181,977.0,0.8919130995206331,0.010808690047936682,0.8784971262257012
Role-Adjusted Quality,0.1,5-3-2,88.72727272727273,976.0,0.9171271928262988,0.008287280717370145,0.8798740084165697
Role-Adjusted Quality,0.25,4-3-3,88.81818181818181,977.0,0.8903603596996251,0.027409910075093715,0.8636323673804565
Role-Adjusted Quality,0.25,4-2-3-1,88.36363636363636,972.0,0.9109319342234184,0.022267016444145377,0.8637079263598811
Role-Adjusted Quality,0.25,4-4-2,87.81818181818181,966.0,0.8648261302851924,0.033793467428701936,0.8489218463145728
Role-Adjusted Quality,0.25,4-1-2-1-2,88.54545454545455,974.0,0.9333134639621005,0.016671634009474908,0.8706431446295849
Role-Adjusted Quality,0.25,3-5-2,88.45454545454545,973.0,0.9396631438842987,0.015084214028925359,0.8711310289841826
Role-Adjusted Quality,0.25,3-4-3,88.81818181818181,977.0,0.8919130995206331,0.0270217251198417,0.8639700882915257
Role-Adjusted Quality,0.25,5-3-2,88.45454545454545,973.0,0.9396631438842987,0.015084214028925359,0.8711310289841826
Role-Adjusted Quality,0.4,4-3-3,88.45454545454545,973.0,0.9044751635681844,0.03820993457272628,0.8503071684109841
Role-Adjusted Quality,0.4,4-2-3-1,88.0,968.0,0.9250467380919777,0.029981304763208937,0.8531553355053364
Role-Adjusted Quality,0.4,4-4-2,86.36363636363636,950.0,0.9097453831002213,0.03610184675991151,0.8335661094696956
Role-Adjusted Quality,0.4,4-1-2-1-2,88.18181818181819,970.0,0.9474282678306597,0.021028692867736183,0.8631607756459535
Role-Adjusted Quality,0.4,3-5-2,88.0909090909091,969.0,0.953777947752858,0.0184888208988569,0.8644868451587641
Role-Adjusted Quality,0.4,3-4-3,88.45454545454545,973.0,0.9060279033891924,0.03758883864432305,0.8508475218686947
Role-Adjusted Quality,0.4,5-3-2,88.0909090909091,969.0,0.953777947752858,0.0184888208988569,0.8644868451587642
