Method,Role Fit Weight,Formation,Formation Slot,Name,Player Key,Primary Position,OVR,Quality Score,Role Fit Score,Selection Score,Accepted Exact Positions,Suitability Roles
Quality + Role Fit,0.25,4-3-3,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,4-3-3,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.8937572009951951,Left Back,Fullback
Quality + Role Fit,0.25,4-3-3,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,4-3-3,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,4-3-3,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.8847560206950774,Right Back,Fullback
Quality + Role Fit,0.25,4-3-3,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.8981797166068654,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.25,4-3-3,CM1,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.8664749372505315,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-3-3,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8867638281382622,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-3-3,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.8686976682713705,Left Winger,Winger
Quality + Role Fit,0.25,4-3-3,RW,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.6368583257414466,0.8417145814353617,Right Winger,Winger
Quality + Role Fit,0.25,4-3-3,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,4-2-3-1,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,4-2-3-1,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.8937572009951951,Left Back,Fullback
Quality + Role Fit,0.25,4-2-3-1,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,4-2-3-1,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,4-2-3-1,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.8847560206950774,Right Back,Fullback
Quality + Role Fit,0.25,4-2-3-1,DM1,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.8981797166068654,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.25,4-2-3-1,DM2,N'Golo Kanté,215914,Defensive Midfielder,85.0,0.85,0.9692898560025314,0.8798224640006328,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.25,4-2-3-1,AM,Jamal Musiala,256790,Attacking Midfielder,88.0,0.88,0.92995252531437,0.8924881313285925,Attacking Midfielder,Attacking Midfielder
Quality + Role Fit,0.25,4-2-3-1,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.8686976682713705,Left Winger,Winger
Quality + Role Fit,0.25,4-2-3-1,RW,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.6368583257414466,0.8417145814353617,Right Winger,Winger
Quality + Role Fit,0.25,4-2-3-1,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,4-4-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,4-4-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.8937572009951951,Left Back,Fullback
Quality + Role Fit,0.25,4-4-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,4-4-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,4-4-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.8847560206950774,Right Back,Fullback
Quality + Role Fit,0.25,4-4-2,LM,Dan Ndoye,257980,Left Midfielder,79.0,0.79,0.6956324948037924,0.7664081237009481,Left Midfielder,Wide Midfielder
Quality + Role Fit,0.25,4-4-2,CM1,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.8664749372505315,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-4-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8867638281382622,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-4-2,RM,Bukayo Saka,246669,Right Winger,88.0,0.88,0.4636782264920498,0.7759195566230125,Right Midfielder,Wide Midfielder
Quality + Role Fit,0.25,4-4-2,ST1,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,4-4-2,ST2,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.9135451550999465,Striker,Striker
Quality + Role Fit,0.25,4-1-2-1-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,4-1-2-1-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.8937572009951951,Left Back,Fullback
Quality + Role Fit,0.25,4-1-2-1-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,4-1-2-1-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,4-1-2-1-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.8847560206950774,Right Back,Fullback
Quality + Role Fit,0.25,4-1-2-1-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.8981797166068654,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.25,4-1-2-1-2,CM1,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.8664749372505315,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-1-2-1-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8867638281382622,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,4-1-2-1-2,AM,Jamal Musiala,256790,Attacking Midfielder,88.0,0.88,0.92995252531437,0.8924881313285925,Attacking Midfielder,Attacking Midfielder
Quality + Role Fit,0.25,4-1-2-1-2,ST1,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,4-1-2-1-2,ST2,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.9135451550999465,Striker,Striker
Quality + Role Fit,0.25,3-5-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,3-5-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,3-5-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,3-5-2,CB3,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9024497511146375,Center Back,Center Back
Quality + Role Fit,0.25,3-5-2,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.49913700551221657,0.7697842513780542,Left Back|Left Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.25,3-5-2,RWB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.47259382864328153,0.7856484571608203,Right Back|Right Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.25,3-5-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.8981797166068654,Defensive Midfielder,Defensive Midfielder
Quality + Role Fit,0.25,3-5-2,CM1,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.8664749372505315,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,3-5-2,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8867638281382622,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,3-5-2,ST1,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,3-5-2,ST2,Harry Kane,202126,Striker,89.0,0.89,0.9841806203997862,0.9135451550999465,Striker,Striker
Quality + Role Fit,0.25,3-4-3,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,3-4-3,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,3-4-3,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,3-4-3,CB3,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9024497511146375,Center Back,Center Back
Quality + Role Fit,0.25,3-4-3,LWB,Nuno Mendes,252145,Left Back,86.0,0.86,0.49913700551221657,0.7697842513780542,Left Back|Left Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.25,3-4-3,RWB,Achraf Hakimi,235212,Right Back,89.0,0.89,0.47259382864328153,0.7856484571608203,Right Back|Right Midfielder,Fullback|Wide Midfielder
Quality + Role Fit,0.25,3-4-3,CM1,Vitinha,255253,Central Midfielder,89.0,0.89,0.795899749002126,0.8664749372505315,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,3-4-3,CM2,Pedri,251854,Central Midfielder,89.0,0.89,0.8770553125530485,0.8867638281382622,Central Midfielder,Central Midfielder
Quality + Role Fit,0.25,3-4-3,LW,Vini Jr.,238794,Left Winger,89.0,0.89,0.804790673085482,0.8686976682713705,Left Winger,Winger
Quality + Role Fit,0.25,3-4-3,RW,Mohamed Salah,209331,Right Midfielder,91.0,0.91,0.6368583257414466,0.8417145814353617,Right Winger,Winger
Quality + Role Fit,0.25,3-4-3,ST,Erling Haaland,239085,Striker,90.0,0.9,0.9999611285147314,0.9249902821286828,Striker,Striker
Quality + Role Fit,0.25,5-3-2,GK,Alisson,212831,Goalkeeper,89.0,0.89,0.872,0.8855,Goalkeeper,GoalkeeperSkill
Quality + Role Fit,0.25,5-3-2,LB,Nuno Mendes,252145,Left Back,86.0,0.86,0.99502880398078,0.8937572009951951,Left Back,Fullback
Quality + Role Fit,0.25,5-3-2,CB1,Virgil van Dijk,203376,Center Back,90.0,0.9,0.9961802750195612,0.9240450687548903,Center Back,Center Back
Quality + Role Fit,0.25,5-3-2,CB2,Gabriel,232580,Center Back,88.0,0.88,0.9997095821450804,0.9099273955362701,Center Back,Center Back
Quality + Role Fit,0.25,5-3-2,CB3,Jonathan Tah,213331,Center Back,87.0,0.87,0.9997990044585502,0.9024497511146375,Center Back,Center Back
Quality + Role Fit,0.25,5-3-2,RB,Carvajal,204963,Right Back,85.0,0.85,0.98902408278031,0.8847560206950774,Right Back,Fullback
Quality + Role Fit,0.25,5-3-2,DM,Moisés Caicedo,256079,Defensive Midfielder,87.0,0.87,0.9827188664274614,0.8981797166068654,Defensive Midfielder,Defensive Midfielder
