Method,Role Fit Weight,Formation,Average OVR,Average Role Fit,Average Selection Score
Quality + Role Fit,0.25,4-3-3,88.45454545454545,0.9044751635681844,0.889527881801137
Quality + Role Fit,0.25,4-2-3-1,88.0,0.9250467380919777,0.8912616845229944
Quality + Role Fit,0.25,4-4-2,87.45454545454545,0.8789409341537516,0.8756443244475288
Quality + Role Fit,0.25,4-1-2-1-2,88.18181818181819,0.9474282678306597,0.8982207033213012
Quality + Role Fit,0.25,3-5-2,88.45454545454545,0.8617486702432586,0.8788462584699055
Quality + Role Fit,0.25,3-4-3,88.81818181818181,0.8139986258795932,0.8696360201062618
Quality + Role Fit,0.25,5-3-2,88.0909090909091,0.953777947752858,0.8991263051200327
Quality + Role Fit,0.5,4-3-3,87.36363636363636,0.9200581891591678,0.8968472763977658
Quality + Role Fit,0.5,4-2-3-1,87.45454545454545,0.9329259979964903,0.9037357262709725
Quality + Role Fit,0.5,4-4-2,85.27272727272727,0.9294077644416695,0.891067518584471
Quality + Role Fit,0.5,4-1-2-1-2,87.54545454545455,0.956186162587083,0.9158203540208142
Quality + Role Fit,0.5,3-5-2,87.81818181818181,0.8705065649996818,0.87434419159075
Quality + Role Fit,0.5,3-4-3,87.72727272727273,0.8295816514705767,0.8534271893716521
Quality + Role Fit,0.5,5-3-2,87.45454545454545,0.9625358425092813,0.9185406485273678
Quality + Role Fit,0.75,4-3-3,84.0909090909091,0.9383394926351533,0.9139818922036379
Quality + Role Fit,0.75,4-2-3-1,84.36363636363636,0.9497744595332317,0.9232399355590147
Quality + Role Fit,0.75,4-4-2,81.81818181818181,0.9508089017410405,0.9176521308512349
Quality + Role Fit,0.75,4-1-2-1-2,84.54545454545455,0.9686228716335041,0.9378307900887645
Quality + Role Fit,0.75,3-5-2,85.81818181818181,0.879648220867275,0.8742816201959108
Quality + Role Fit,0.75,3-4-3,84.0909090909091,0.8498944988727554,0.8476481468818392
Quality + Role Fit,0.75,5-3-2,85.81818181818181,0.9696459544506812,0.9417799203834655
