Formation,Name,Lambdas Selected,Number of Lambdas,Lambda Stability
3-4-3,Alisson,0.10|0.25|0.40,3,1.0
3-4-3,Erling Haaland,0.10|0.25|0.40,3,1.0
3-4-3,Gabriel,0.10|0.25|0.40,3,1.0
3-4-3,Jonathan Tah,0.10|0.25|0.40,3,1.0
3-4-3,Mohamed Salah,0.10|0.25|0.40,3,1.0
3-4-3,Nuno Mendes,0.10|0.25|0.40,3,1.0
3-4-3,Pedri,0.10|0.25|0.40,3,1.0
3-4-3,Vini Jr.,0.10|0.25|0.40,3,1.0
3-4-3,Virgil van Dijk,0.10|0.25|0.40,3,1.0
3-4-3,Vitinha,0.10|0.25|0.40,3,1.0
3-4-3,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
3-4-3,Carvajal,0.40,1,0.3333333333333333
3-5-2,Alisson,0.10|0.25|0.40,3,1.0
3-5-2,Erling Haaland,0.10|0.25|0.40,3,1.0
3-5-2,Gabriel,0.10|0.25|0.40,3,1.0
3-5-2,Harry Kane,0.10|0.25|0.40,3,1.0
3-5-2,Jonathan Tah,0.10|0.25|0.40,3,1.0
3-5-2,Nuno Mendes,0.10|0.25|0.40,3,1.0
3-5-2,Pedri,0.10|0.25|0.40,3,1.0
3-5-2,Virgil van Dijk,0.10|0.25|0.40,3,1.0
3-5-2,Vitinha,0.10|0.25|0.40,3,1.0
3-5-2,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
3-5-2,Moisés Caicedo,0.25|0.40,2,0.6666666666666666
3-5-2,Carvajal,0.40,1,0.3333333333333333
3-5-2,Rodri,0.10,1,0.3333333333333333
4-1-2-1-2,Alisson,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Erling Haaland,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Gabriel,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Harry Kane,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Jamal Musiala,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Nuno Mendes,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Pedri,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Virgil van Dijk,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Vitinha,0.10|0.25|0.40,3,1.0
4-1-2-1-2,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
4-1-2-1-2,Moisés Caicedo,0.25|0.40,2,0.6666666666666666
4-1-2-1-2,Carvajal,0.40,1,0.3333333333333333
4-1-2-1-2,Rodri,0.10,1,0.3333333333333333
4-2-3-1,Alisson,0.10|0.25|0.40,3,1.0
4-2-3-1,Erling Haaland,0.10|0.25|0.40,3,1.0
4-2-3-1,Gabriel,0.10|0.25|0.40,3,1.0
4-2-3-1,Jamal Musiala,0.10|0.25|0.40,3,1.0
4-2-3-1,Mohamed Salah,0.10|0.25|0.40,3,1.0
4-2-3-1,Moisés Caicedo,0.10|0.25|0.40,3,1.0
4-2-3-1,Nuno Mendes,0.10|0.25|0.40,3,1.0
4-2-3-1,Vini Jr.,0.10|0.25|0.40,3,1.0
4-2-3-1,Virgil van Dijk,0.10|0.25|0.40,3,1.0
4-2-3-1,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
4-2-3-1,N'Golo Kanté,0.25|0.40,2,0.6666666666666666
4-2-3-1,Carvajal,0.40,1,0.3333333333333333
4-2-3-1,Rodri,0.10,1,0.3333333333333333
4-3-3,Alisson,0.10|0.25|0.40,3,1.0
4-3-3,Erling Haaland,0.10|0.25|0.40,3,1.0
4-3-3,Gabriel,0.10|0.25|0.40,3,1.0
4-3-3,Mohamed Salah,0.10|0.25|0.40,3,1.0
4-3-3,Nuno Mendes,0.10|0.25|0.40,3,1.0
4-3-3,Pedri,0.10|0.25|0.40,3,1.0
4-3-3,Vini Jr.,0.10|0.25|0.40,3,1.0
4-3-3,Virgil van Dijk,0.10|0.25|0.40,3,1.0
4-3-3,Vitinha,0.10|0.25|0.40,3,1.0
4-3-3,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
4-3-3,Moisés Caicedo,0.25|0.40,2,0.6666666666666666
4-3-3,Carvajal,0.40,1,0.3333333333333333
4-3-3,Rodri,0.10,1,0.3333333333333333
4-4-2,Alisson,0.10|0.25|0.40,3,1.0
4-4-2,Erling Haaland,0.10|0.25|0.40,3,1.0
4-4-2,Gabriel,0.10|0.25|0.40,3,1.0
4-4-2,Harry Kane,0.10|0.25|0.40,3,1.0
4-4-2,Nuno Mendes,0.10|0.25|0.40,3,1.0
4-4-2,Pedri,0.10|0.25|0.40,3,1.0
4-4-2,Virgil van Dijk,0.10|0.25|0.40,3,1.0
4-4-2,Vitinha,0.10|0.25|0.40,3,1.0
4-4-2,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
4-4-2,Dan Ndoye,0.25|0.40,2,0.6666666666666666
4-4-2,Adama Traoré,0.40,1,0.3333333333333333
4-4-2,Bukayo Saka,0.25,1,0.3333333333333333
4-4-2,Carvajal,0.40,1,0.3333333333333333
4-4-2,Kylian Mbappé,0.10,1,0.3333333333333333
4-4-2,Mohamed Salah,0.10,1,0.3333333333333333
5-3-2,Alisson,0.10|0.25|0.40,3,1.0
5-3-2,Erling Haaland,0.10|0.25|0.40,3,1.0
5-3-2,Gabriel,0.10|0.25|0.40,3,1.0
5-3-2,Harry Kane,0.10|0.25|0.40,3,1.0
5-3-2,Jonathan Tah,0.10|0.25|0.40,3,1.0
5-3-2,Nuno Mendes,0.10|0.25|0.40,3,1.0
5-3-2,Pedri,0.10|0.25|0.40,3,1.0
5-3-2,Virgil van Dijk,0.10|0.25|0.40,3,1.0
5-3-2,Vitinha,0.10|0.25|0.40,3,1.0
5-3-2,Achraf Hakimi,0.10|0.25,2,0.6666666666666666
5-3-2,Moisés Caicedo,0.25|0.40,2,0.6666666666666666
5-3-2,Carvajal,0.40,1,0.3333333333333333
5-3-2,Rodri,0.10,1,0.3333333333333333
