Name,Formations Selected,Number of Formations,Formation Robustness,Method
Alisson,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Gabriel,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Kylian Mbappé,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Ousmane Dembélé,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Rodri,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Virgil van Dijk,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,OVR Baseline
Jude Bellingham,3-4-3|3-5-2|4-1-2-1-2|4-3-3|4-4-2|5-3-2,6,0.8571428571428571,OVR Baseline
Achraf Hakimi,4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,5,0.7142857142857143,OVR Baseline
Erling Haaland,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-4-2,5,0.7142857142857143,OVR Baseline
Mohamed Salah,3-4-3|3-5-2|4-2-3-1|4-3-3|4-4-2,5,0.7142857142857143,OVR Baseline
Nuno Mendes,4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,5,0.7142857142857143,OVR Baseline
Vitinha,3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|5-3-2,5,0.7142857142857143,OVR Baseline
Alessandro Bastoni,3-4-3|3-5-2|5-3-2,3,0.42857142857142855,OVR Baseline
Raphinha,3-4-3,1,0.14285714285714285,OVR Baseline
