Name,Formations Selected,Number of Formations,Formation Robustness,Method
Achraf Hakimi,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Alisson,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Erling Haaland,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Gabriel,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Nuno Mendes,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Virgil van Dijk,3-4-3|3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|4-4-2|5-3-2,7,1.0,Role-Adjusted Quality (lambda=0.25)
Pedri,3-4-3|3-5-2|4-1-2-1-2|4-3-3|4-4-2|5-3-2,6,0.8571428571428571,Role-Adjusted Quality (lambda=0.25)
Vitinha,3-4-3|3-5-2|4-1-2-1-2|4-3-3|4-4-2|5-3-2,6,0.8571428571428571,Role-Adjusted Quality (lambda=0.25)
Moisés Caicedo,3-5-2|4-1-2-1-2|4-2-3-1|4-3-3|5-3-2,5,0.7142857142857143,Role-Adjusted Quality (lambda=0.25)
Harry Kane,3-5-2|4-1-2-1-2|4-4-2|5-3-2,4,0.5714285714285714,Role-Adjusted Quality (lambda=0.25)
Jonathan Tah,3-4-3|3-5-2|5-3-2,3,0.42857142857142855,Role-Adjusted Quality (lambda=0.25)
Mohamed Salah,3-4-3|4-2-3-1|4-3-3,3,0.42857142857142855,Role-Adjusted Quality (lambda=0.25)
Vini Jr.,3-4-3|4-2-3-1|4-3-3,3,0.42857142857142855,Role-Adjusted Quality (lambda=0.25)
Jamal Musiala,4-1-2-1-2|4-2-3-1,2,0.2857142857142857,Role-Adjusted Quality (lambda=0.25)
Bukayo Saka,4-4-2,1,0.14285714285714285,Role-Adjusted Quality (lambda=0.25)
Dan Ndoye,4-4-2,1,0.14285714285714285,Role-Adjusted Quality (lambda=0.25)
N'Golo Kanté,4-2-3-1,1,0.14285714285714285,Role-Adjusted Quality (lambda=0.25)
