Formation,Formation Slot,OVR Baseline Player,OVR Baseline Player OVR,Role-Adjusted Player,Role-Adjusted Player OVR,Role-Adjusted Role Fit,Role-Adjusted Selection Score,Same Player,OVR Change
3-4-3,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
3-4-3,CB2,Gabriel,88.0,Jonathan Tah,87.0,0.9997990044585502,0.8699562834697346,False,-1.0
3-4-3,CB3,Alessandro Bastoni,87.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,False,1.0
3-4-3,CM1,Rodri,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
3-4-3,CM2,Jude Bellingham,90.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,False,-1.0
3-4-3,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
3-4-3,LW,Raphinha,89.0,Vini Jr.,89.0,0.804790673085482,0.8465659247615198,False,0.0
3-4-3,LWB,Kylian Mbappé,91.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,False,-5.0
3-4-3,RW,Ousmane Dembélé,90.0,Mohamed Salah,91.0,0.6368583257414466,0.827385269106179,False,1.0
3-4-3,RWB,Mohamed Salah,91.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,False,-2.0
3-4-3,ST,Erling Haaland,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,True,0.0
3-5-2,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
3-5-2,CB2,Gabriel,88.0,Jonathan Tah,87.0,0.9997990044585502,0.8699562834697346,False,-1.0
3-5-2,CB3,Alessandro Bastoni,87.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,False,1.0
3-5-2,CM1,Jude Bellingham,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
3-5-2,CM2,Vitinha,89.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,True,0.0
3-5-2,DM,Rodri,90.0,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,False,-3.0
3-5-2,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
3-5-2,LWB,Kylian Mbappé,91.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,False,-5.0
3-5-2,RWB,Mohamed Salah,91.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,False,-2.0
3-5-2,ST1,Ousmane Dembélé,90.0,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,False,-1.0
3-5-2,ST2,Erling Haaland,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,True,0.0
4-1-2-1-2,AM,Ousmane Dembélé,90.0,Jamal Musiala,88.0,0.92995252531437,0.8645895555691614,False,-2.0
4-1-2-1-2,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
4-1-2-1-2,CB2,Gabriel,88.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,True,0.0
4-1-2-1-2,CM1,Jude Bellingham,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
4-1-2-1-2,CM2,Vitinha,89.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,True,0.0
4-1-2-1-2,DM,Rodri,90.0,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,False,-3.0
4-1-2-1-2,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
4-1-2-1-2,LB,Nuno Mendes,86.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,True,0.0
4-1-2-1-2,RB,Achraf Hakimi,89.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,True,0.0
4-1-2-1-2,ST1,Kylian Mbappé,91.0,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,False,-2.0
4-1-2-1-2,ST2,Erling Haaland,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,True,0.0
4-2-3-1,AM,Ousmane Dembélé,90.0,Jamal Musiala,88.0,0.92995252531437,0.8645895555691614,False,-2.0
4-2-3-1,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
4-2-3-1,CB2,Gabriel,88.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,True,0.0
4-2-3-1,DM1,Rodri,90.0,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,False,-3.0
4-2-3-1,DM2,Vitinha,89.0,N'Golo Kanté,85.0,0.9692898560025314,0.8434740944005379,False,-4.0
4-2-3-1,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
4-2-3-1,LB,Nuno Mendes,86.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,True,0.0
4-2-3-1,LW,Kylian Mbappé,91.0,Vini Jr.,89.0,0.804790673085482,0.8465659247615198,False,-2.0
4-2-3-1,RB,Achraf Hakimi,89.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,True,0.0
4-2-3-1,RW,Mohamed Salah,91.0,Mohamed Salah,91.0,0.6368583257414466,0.827385269106179,True,0.0
4-2-3-1,ST,Erling Haaland,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,True,0.0
4-3-3,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
4-3-3,CB2,Gabriel,88.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,True,0.0
4-3-3,CM1,Jude Bellingham,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
4-3-3,CM2,Vitinha,89.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,True,0.0
4-3-3,DM,Rodri,90.0,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,False,-3.0
4-3-3,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
4-3-3,LB,Nuno Mendes,86.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,True,0.0
4-3-3,LW,Kylian Mbappé,91.0,Vini Jr.,89.0,0.804790673085482,0.8465659247615198,False,-2.0
4-3-3,RB,Achraf Hakimi,89.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,True,0.0
4-3-3,RW,Mohamed Salah,91.0,Mohamed Salah,91.0,0.6368583257414466,0.827385269106179,True,0.0
4-3-3,ST,Ousmane Dembélé,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,False,0.0
4-4-2,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
4-4-2,CB2,Gabriel,88.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,True,0.0
4-4-2,CM1,Rodri,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
4-4-2,CM2,Jude Bellingham,90.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,False,-1.0
4-4-2,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
4-4-2,LB,Nuno Mendes,86.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,True,0.0
4-4-2,LM,Kylian Mbappé,91.0,Dan Ndoye,79.0,0.6956324948037924,0.729887417723749,False,-12.0
4-4-2,RB,Achraf Hakimi,89.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,True,0.0
4-4-2,RM,Mohamed Salah,91.0,Bukayo Saka,88.0,0.4636782264920498,0.7620092098282509,False,-3.0
4-4-2,ST1,Ousmane Dembélé,90.0,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,False,-1.0
4-4-2,ST2,Erling Haaland,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,True,0.0
5-3-2,CB1,Virgil van Dijk,90.0,Virgil van Dijk,90.0,0.9961802750195612,0.8991405618794013,True,0.0
5-3-2,CB2,Gabriel,88.0,Jonathan Tah,87.0,0.9997990044585502,0.8699562834697346,False,-1.0
5-3-2,CB3,Alessandro Bastoni,87.0,Gabriel,88.0,0.9997095821450804,0.8799361080719177,False,1.0
5-3-2,CM1,Jude Bellingham,90.0,Pedri,89.0,0.8770553125530485,0.8626448070430534,False,-1.0
5-3-2,CM2,Vitinha,89.0,Vitinha,89.0,0.795899749002126,0.8445876941529731,True,0.0
5-3-2,DM,Rodri,90.0,Moisés Caicedo,87.0,0.9827188664274614,0.8662413534479729,False,-3.0
5-3-2,GK,Alisson,89.0,Alisson,89.0,0.872,0.86152,True,0.0
5-3-2,LB,Nuno Mendes,86.0,Nuno Mendes,86.0,0.99502880398078,0.8589311928558677,True,0.0
5-3-2,RB,Achraf Hakimi,89.0,Achraf Hakimi,89.0,0.8337612402261589,0.8530118759503204,True,0.0
5-3-2,ST1,Kylian Mbappé,91.0,Harry Kane,89.0,0.9841806203997862,0.8864801880389525,False,-2.0
5-3-2,ST2,Ousmane Dembélé,90.0,Erling Haaland,90.0,0.9999611285147314,0.8999912539158146,False,0.0
