Scenario,Formation,Formation Slot,Assigned Role,Name,Official Position,Role Source,OVR,Position Fit Score,Role Attribute Score,Selection Score,Tactical Score,PAC,SHO,PAS,DRI,DEF,PHY
Leading,4-2-3-1,CB1,Center Back,Gabriel,Center Back,Official Position,88.0,100.0,87.9,90.96,86.82800000000002,64.0,44.0,64.0,65.0,88.0,84.0
Leading,4-2-3-1,CB2,Center Back,Virgil van Dijk,Center Back,Official Position,90.0,100.0,89.55,92.32,89.17600000000002,73.0,60.0,72.0,72.0,90.0,87.0
Leading,4-2-3-1,FB1,Full Back,Nuno Mendes,Left Back,Official Position,86.0,100.0,84.41,88.864,84.4752,95.0,65.0,76.0,82.0,80.0,77.0
Leading,4-2-3-1,FB2,Full Back,Achraf Hakimi,Right Back,Official Position,89.0,100.0,88.15,91.41,87.22550000000001,92.0,79.0,82.0,83.0,82.0,79.0
Leading,4-2-3-1,DM1,Defensive Midfielder,Joshua Kimmich,Defensive Midfielder,Official Position,89.0,100.0,88.35,91.49,88.16950000000001,72.0,74.0,89.0,84.0,83.0,79.0
Leading,4-2-3-1,DM2,Defensive Midfielder,Rodri,Defensive Midfielder,Official Position,90.0,100.0,88.9,92.06,89.43299999999999,65.0,80.0,86.0,84.0,86.0,85.0
Leading,4-2-3-1,AM,Attacking Midfielder,Florian Wirtz,Attacking Midfielder,Official Position,89.0,100.0,87.8,91.27,80.94850000000001,80.0,82.0,88.0,90.0,54.0,67.0
Leading,4-2-3-1,W1,Winger,Vini Jr.,Left Winger,Official Position,89.0,100.0,90.56,92.374,76.0557,95.0,84.0,81.0,91.0,29.0,69.0
Leading,4-2-3-1,W2,Winger,Bukayo Saka,Right Winger,Official Position,88.0,100.0,85.72,90.088,81.7484,84.0,82.0,85.0,88.0,60.0,73.0
Leading,4-2-3-1,ST,Striker,Erling Haaland,Striker,Official Position,90.0,100.0,91.88,93.252,80.5886,86.0,91.0,70.0,80.0,45.0,88.0
Tied,4-3-3,CB1,Center Back,Gabriel,Center Back,Official Position,88.0,100.0,87.9,90.96,87.19699999999999,64.0,44.0,64.0,65.0,88.0,84.0
Tied,4-3-3,CB2,Center Back,Virgil van Dijk,Center Back,Official Position,90.0,100.0,89.55,92.32,89.54899999999999,73.0,60.0,72.0,72.0,90.0,87.0
Tied,4-3-3,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89.0,100.0,88.15,91.41,89.48700000000001,92.0,79.0,82.0,83.0,82.0,79.0
Tied,4-3-3,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86.0,100.0,84.41,88.864,86.75479999999999,95.0,65.0,76.0,82.0,80.0,77.0
Tied,4-3-3,DM,Defensive Midfielder,Rodri,Defensive Midfielder,Official Position,90.0,100.0,88.9,92.06,89.91699999999999,65.0,80.0,86.0,84.0,86.0,85.0
Tied,4-3-3,CM1,Central Midfielder,Pedri,Central Midfielder,Official Position,89.0,100.0,87.17,91.018,88.5626,77.0,73.0,85.0,91.0,78.0,77.0
Tied,4-3-3,CM2,Central Midfielder,Federico Valverde,Central Midfielder,Official Position,89.0,100.0,86.58,90.782,89.2474,88.0,84.0,84.0,84.0,83.0,85.0
Tied,4-3-3,W1,Winger,Vini Jr.,Left Winger,Official Position,89.0,100.0,90.56,92.374,85.23680000000002,95.0,84.0,81.0,91.0,29.0,69.0
Tied,4-3-3,W2,Winger,Bukayo Saka,Right Winger,Official Position,88.0,100.0,85.72,90.088,86.33659999999999,84.0,82.0,85.0,88.0,60.0,73.0
Tied,4-3-3,ST,Striker,Erling Haaland,Striker,Official Position,90.0,100.0,91.88,93.252,86.95139999999999,86.0,91.0,70.0,80.0,45.0,88.0
Trailing,4-4-2,CB1,Center Back,Gabriel,Center Back,Official Position,88.0,100.0,87.9,90.96,79.4175,64.0,44.0,64.0,65.0,88.0,84.0
Trailing,4-4-2,CB2,Center Back,Virgil van Dijk,Center Back,Official Position,90.0,100.0,89.55,92.32,83.8975,73.0,60.0,72.0,72.0,90.0,87.0
Trailing,4-4-2,FB1,Full Back,Achraf Hakimi,Right Back,Official Position,89.0,100.0,88.15,91.41,88.45499999999998,92.0,79.0,82.0,83.0,82.0,79.0
Trailing,4-4-2,FB2,Full Back,Nuno Mendes,Left Back,Official Position,86.0,100.0,84.41,88.864,85.15700000000001,95.0,65.0,76.0,82.0,80.0,77.0
Trailing,4-4-2,CM1,Central Midfielder,Pedri,Central Midfielder,Official Position,89.0,100.0,87.17,91.018,87.38399999999999,77.0,73.0,85.0,91.0,78.0,77.0
Trailing,4-4-2,CM2,Central Midfielder,Federico Valverde,Central Midfielder,Official Position,89.0,100.0,86.58,90.782,88.49099999999999,88.0,84.0,84.0,84.0,83.0,85.0
Trailing,4-4-2,WM1,Wide Midfielder,Mohamed Salah,Right Midfielder,Official Position,91.0,100.0,88.5,92.25,90.66250000000001,89.0,88.0,86.0,90.0,45.0,76.0
Trailing,4-4-2,WM2,Wide Midfielder,Raphinha,Left Midfielder,Official Position,89.0,100.0,88.33,91.482,89.45349999999999,91.0,84.0,85.0,87.0,53.0,75.0
Trailing,4-4-2,ST1,Striker,Erling Haaland,Striker,Official Position,90.0,100.0,91.88,93.252,88.73849999999999,86.0,91.0,70.0,80.0,45.0,88.0
Trailing,4-4-2,ST2,Striker,Kylian Mbappé,Striker,Official Position,91.0,100.0,87.75999999999999,91.954,91.127,97.0,90.0,81.0,92.0,37.0,76.0
