Formation,Attribute,Formation Demand,OVR Baseline Supply,Role-Adjusted Supply,OVR Baseline Gap,Role-Adjusted Gap,OVR Baseline Absolute Gap,Role-Adjusted Absolute Gap,OVR Baseline Shortfall,Role-Adjusted Shortfall,Absolute Gap Improvement
4-3-3,PAC,69.28109482951761,81.8,81.4,12.518905170482384,12.118905170482392,12.518905170482384,12.118905170482392,0.0,0.0,0.3999999999999915
4-3-3,SHO,54.73399189157446,76.0,72.8,21.266008108425538,18.066008108425535,21.266008108425538,18.066008108425535,0.0,0.0,3.200000000000003
4-3-3,PAS,60.71576657947277,79.9,78.0,19.184233420527235,17.28423342052723,19.184233420527235,17.28423342052723,0.0,0.0,1.9000000000000057
4-3-3,DRI,65.47729126581979,84.1,82.5,18.622708734180208,17.022708734180213,18.622708734180208,17.022708734180213,0.0,0.0,1.5999999999999943
4-3-3,DEF,55.66490645197174,71.1,69.6,15.435093548028256,13.935093548028256,15.435093548028256,13.935093548028256,0.0,0.0,1.5
4-3-3,PHY,67.2477236065757,78.8,78.9,11.552276393424293,11.652276393424302,11.552276393424293,11.652276393424302,0.0,0.0,-0.10000000000000853
4-2-3-1,PAC,69.29448672767552,82.4,82.2,13.105513272324487,12.905513272324484,13.105513272324487,12.905513272324484,0.0,0.0,0.20000000000000284
4-2-3-1,SHO,54.49796447575668,76.5,72.2,22.00203552424332,17.70203552424332,22.00203552424332,17.70203552424332,0.0,0.0,4.299999999999997
4-2-3-1,PAS,60.49989645359399,78.6,76.2,18.100103546406004,15.700103546406012,18.100103546406004,15.700103546406012,0.0,0.0,2.3999999999999915
4-2-3-1,DRI,65.40977582273435,83.1,81.4,17.690224177265648,15.99022417726566,17.690224177265648,15.99022417726566,0.0,0.0,1.6999999999999886
4-2-3-1,DEF,54.647988735751156,67.8,69.4,13.152011264248841,14.75201126424885,13.152011264248841,14.75201126424885,0.0,0.0,-1.6000000000000085
4-2-3-1,PHY,67.06108612584576,79.1,78.6,12.038913874154233,11.538913874154233,12.038913874154233,11.538913874154233,0.0,0.0,0.5
4-4-2,PAC,70.17905525399189,83.2,79.6,13.020944746008112,9.420944746008104,13.020944746008112,9.420944746008104,0.0,0.0,3.6000000000000085
4-4-2,SHO,55.67484159527511,77.1,73.8,21.425158404724883,18.125158404724885,21.425158404724883,18.125158404724885,0.0,0.0,3.299999999999997
4-4-2,PAS,59.949991816149506,78.3,77.3,18.35000818385049,17.35000818385049,18.35000818385049,17.35000818385049,0.0,0.0,1.0
4-4-2,DRI,65.37890874346348,83.1,81.4,17.72109125653651,16.021091256536522,17.72109125653651,16.021091256536522,0.0,0.0,1.6999999999999886
4-4-2,DEF,53.279193316304976,68.1,70.8,14.820806683695018,17.52080668369502,14.820806683695018,17.52080668369502,0.0,0.0,-2.700000000000003
4-4-2,PHY,67.2610228383231,80.6,78.5,13.338977161676894,11.2389771616769,13.338977161676894,11.2389771616769,0.0,0.0,2.0999999999999943
4-1-2-1-2,PAC,67.81364505352946,81.5,77.4,13.686354946470544,9.58635494647055,13.686354946470544,9.58635494647055,0.0,0.0,4.099999999999994
4-1-2-1-2,SHO,55.130607279101525,76.3,73.0,21.169392720898472,17.869392720898475,21.169392720898472,17.869392720898475,0.0,0.0,3.299999999999997
4-1-2-1-2,PAS,60.438180711250084,78.3,77.6,17.861819288749913,17.16181928874991,17.861819288749913,17.16181928874991,0.0,0.0,0.7000000000000028
4-1-2-1-2,DRI,65.09811583469845,83.1,81.6,18.001884165301547,16.501884165301547,18.001884165301547,16.501884165301547,0.0,0.0,1.5
4-1-2-1-2,DEF,56.26521151051254,71.1,73.6,14.834788489487451,17.33478848948745,14.834788489487451,17.33478848948745,0.0,0.0,-2.5
4-1-2-1-2,PHY,68.44231162324152,80.0,79.1,11.557688376758477,10.657688376758472,11.557688376758477,10.657688376758472,0.0,0.0,0.9000000000000057
