Formation,Formation Slot,Demand Role(s),PAC,SHO,PAS,DRI,DEF,PHY
4-3-3,LB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-3-3,CB1,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-3-3,CB2,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-3-3,RB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-3-3,DM,Defensive Midfielder,62.41559633027523,55.028440366972475,63.877064220183485,66.12110091743119,66.03669724770643,70.96238532110091
4-3-3,CM1,Central Midfielder,66.48438495857233,61.25302740599108,66.75908221797323,69.20777565328234,61.374123645634164,66.7240280433397
4-3-3,CM2,Central Midfielder,66.48438495857233,61.25302740599108,66.75908221797323,69.20777565328234,61.374123645634164,66.7240280433397
4-3-3,LW,Winger,78.16472868217055,64.55426356589147,63.42248062015504,71.02713178294573,36.26162790697674,58.742248062015506
4-3-3,RW,Winger,78.16472868217055,64.55426356589147,63.42248062015504,71.02713178294573,36.26162790697674,58.742248062015506
4-3-3,ST,Striker,70.96786703601109,67.95734072022161,56.586703601108034,66.6432132963989,31.98393351800554,68.81108033240997
4-2-3-1,LB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-2-3-1,CB1,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-2-3-1,CB2,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-2-3-1,RB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-2-3-1,DM1,Defensive Midfielder,62.41559633027523,55.028440366972475,63.877064220183485,66.12110091743119,66.03669724770643,70.96238532110091
4-2-3-1,DM2,Defensive Midfielder,62.41559633027523,55.028440366972475,63.877064220183485,66.12110091743119,66.03669724770643,70.96238532110091
4-2-3-1,AM,Attacking Midfielder,70.6870925684485,65.11734028683182,67.48239895697523,71.61929595827901,46.54237288135593,60.61929595827901
4-2-3-1,LW,Winger,78.16472868217055,64.55426356589147,63.42248062015504,71.02713178294573,36.26162790697674,58.742248062015506
4-2-3-1,RW,Winger,78.16472868217055,64.55426356589147,63.42248062015504,71.02713178294573,36.26162790697674,58.742248062015506
4-2-3-1,ST,Striker,70.96786703601109,67.95734072022161,56.586703601108034,66.6432132963989,31.98393351800554,68.81108033240997
4-4-2,LB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-4-2,CB1,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-4-2,CB2,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-4-2,RB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-4-2,LM,Wide Midfielder,78.37839545167404,62.79406190777006,63.238787113076434,70.27416298168035,41.359444093493366,59.884396715097914
4-4-2,CM1,Central Midfielder,66.48438495857233,61.25302740599108,66.75908221797323,69.20777565328234,61.374123645634164,66.7240280433397
4-4-2,CM2,Central Midfielder,66.48438495857233,61.25302740599108,66.75908221797323,69.20777565328234,61.374123645634164,66.7240280433397
4-4-2,RM,Wide Midfielder,78.37839545167404,62.79406190777006,63.238787113076434,70.27416298168035,41.359444093493366,59.884396715097914
4-4-2,ST1,Striker,70.96786703601109,67.95734072022161,56.586703601108034,66.6432132963989,31.98393351800554,68.81108033240997
4-4-2,ST2,Striker,70.96786703601109,67.95734072022161,56.586703601108034,66.6432132963989,31.98393351800554,68.81108033240997
4-1-2-1-2,LB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-1-2-1-2,CB1,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-1-2-1-2,CB2,Center Back,60.72257551669316,37.709856915739266,52.15699523052464,55.16573926868045,68.19475357710652,73.57909379968204
4-1-2-1-2,RB,Fullback,74.34205330700888,48.65992102665351,61.00839091806515,65.60365251727542,63.48371174728529,67.30651530108588
4-1-2-1-2,DM,Defensive Midfielder,62.41559633027523,55.028440366972475,63.877064220183485,66.12110091743119,66.03669724770643,70.96238532110091
