Method,Formation,Formation Slot,Name,Match Source,Player Key,PAC,SHO,PAS,DRI,DEF,PHY
Role-Adjusted Quality (lambda=0.25),4-3-3,LB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),4-3-3,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),4-3-3,CB2,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),4-3-3,RB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),4-3-3,DM,Moisés Caicedo,Player Key / ID,256079,71.0,64.0,78.0,81.0,84.0,82.0
Role-Adjusted Quality (lambda=0.25),4-3-3,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),4-3-3,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),4-3-3,LW,Vini Jr.,Player Key / ID,238794,95.0,84.0,81.0,91.0,29.0,69.0
Role-Adjusted Quality (lambda=0.25),4-3-3,RW,Mohamed Salah,Player Key / ID,209331,89.0,88.0,86.0,90.0,45.0,76.0
Role-Adjusted Quality (lambda=0.25),4-3-3,ST,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,LB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,CB2,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,RB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,DM1,Moisés Caicedo,Player Key / ID,256079,71.0,64.0,78.0,81.0,84.0,82.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,DM2,N'Golo Kanté,Player Key / ID,215914,77.0,65.0,73.0,80.0,85.0,79.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,AM,Jamal Musiala,Player Key / ID,256790,80.0,82.0,80.0,90.0,66.0,65.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,LW,Vini Jr.,Player Key / ID,238794,95.0,84.0,81.0,91.0,29.0,69.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,RW,Mohamed Salah,Player Key / ID,209331,89.0,88.0,86.0,90.0,45.0,76.0
Role-Adjusted Quality (lambda=0.25),4-2-3-1,ST,Erling Haaland,Player Key / ID,239085,86.0,91.0,70.0,80.0,45.0,88.0
Role-Adjusted Quality (lambda=0.25),4-4-2,LB,Nuno Mendes,Player Key / ID,252145,95.0,65.0,76.0,82.0,80.0,77.0
Role-Adjusted Quality (lambda=0.25),4-4-2,CB1,Virgil van Dijk,Player Key / ID,203376,73.0,60.0,72.0,72.0,90.0,87.0
Role-Adjusted Quality (lambda=0.25),4-4-2,CB2,Gabriel,Player Key / ID,232580,64.0,44.0,64.0,65.0,88.0,84.0
Role-Adjusted Quality (lambda=0.25),4-4-2,RB,Achraf Hakimi,Player Key / ID,235212,92.0,79.0,82.0,83.0,82.0,79.0
Role-Adjusted Quality (lambda=0.25),4-4-2,LM,Dan Ndoye,Player Key / ID,257980,89.0,72.0,70.0,81.0,62.0,68.0
Role-Adjusted Quality (lambda=0.25),4-4-2,CM1,Pedri,Player Key / ID,251854,77.0,73.0,85.0,91.0,78.0,77.0
Role-Adjusted Quality (lambda=0.25),4-4-2,CM2,Vitinha,Player Key / ID,255253,72.0,80.0,86.0,90.0,75.0,70.0
Role-Adjusted Quality (lambda=0.25),4-4-2,RM,Bukayo Saka,Player Key / ID,246669,84.0,82.0,85.0,88.0,60.0,73.0
