Formation Slot,Assigned Role,Name,Official Position,OVR,Position Fit Score,Role Attribute Score,Selection Score
GK,Goalkeeper,Gianluigi Donnarumma,Goalkeeper,89.0,100.0,,
CB1,Center Back,Gabriel,Center Back,88.0,100.0,87.9,90.96
CB2,Center Back,Virgil van Dijk,Center Back,90.0,100.0,89.55,92.32
LB,Full Back,Nuno Mendes,Left Back,86.0,100.0,84.41,88.864
RB,Full Back,Achraf Hakimi,Right Back,89.0,100.0,88.15,91.41
DM,Defensive Midfielder,Rodri,Defensive Midfielder,90.0,100.0,88.9,92.06
CM1,Central Midfielder,Pedri,Central Midfielder,89.0,100.0,87.17,91.018
CM2,Central Midfielder,Vitinha,Central Midfielder,89.0,100.0,86.76,90.854
LW,Winger,Vini Jr.,Left Winger,89.0,100.0,90.56,92.374
RW,Winger,Bukayo Saka,Right Winger,88.0,100.0,85.72,90.088
ST,Striker,Kylian Mbappé,Striker,91.0,100.0,87.75999999999999,91.954
