Official Roster Name,EAFC Name,Roster Position Group,Match Status
David Raya,David Raya,Goalkeeper,Matched
Marc Pubill,,Outfield,Missing from EAFC
Álex Grimaldo,Grimaldo,Outfield,Matched
Eric García,Eric García,Outfield,Matched
Marcos Llorente,Marcos Llorente,Outfield,Matched
Mikel Merino,Mikel Merino,Outfield,Matched
Ferran Torres,Ferran Torres,Outfield,Matched
Fabián Ruiz,Fabián Ruiz,Outfield,Matched
Gavi,Gavi,Outfield,Matched
Dani Olmo,Dani Olmo,Outfield,Matched
Yeremy Pino,Yeremy Pino,Outfield,Matched
Pedro Porro,Pedro Porro,Outfield,Matched
Joan García,Joan García,Goalkeeper,Matched
Aymeric Laporte,Aymeric Laporte,Outfield,Matched
Álex Baena,Álex Baena,Outfield,Matched
Rodri,Rodri,Outfield,Matched
Nico Williams,Nico Williams,Outfield,Matched
Martín Zubimendi,Zubimendi,Outfield,Matched
Lamine Yamal,Lamine Yamal,Outfield,Matched
Pedri,Pedri,Outfield,Matched
Mikel Oyarzabal,Oyarzabal,Outfield,Matched
Pau Cubarsí,Pau Cubarsí,Outfield,Matched
Unai Simón,Unai Simón,Goalkeeper,Matched
Marc Cucurella,Marc Cucurella,Outfield,Matched
Víctor Muñoz,Víctor Muñoz,Outfield,Matched
Borja Iglesias,Borja Iglesias,Outfield,Matched
