Formation,Formation Slot,Assigned Role,Name,Official Position,Role Source,OVR,Position Fit Score,Role Attribute Score,Selection Score,Tactical Score,PAC,SHO,PAS,DRI,DEF,PHY
4-3-3,CB1,Center Back,Antonio Rüdiger,Center Back,Official Position,86.0,100.0,86.05,89.52,87.866,79.0,55.0,72.0,70.0,84.0,86.0
4-3-3,CB2,Center Back,Ibrahima Konaté,Center Back,Official Position,86.0,100.0,85.7,89.38,87.44149999999999,77.0,34.0,63.0,69.0,86.0,85.0
4-3-3,FB1,Full Back,Trent Alexander-Arnold,Right Back,Official Position,86.0,100.0,83.09,88.336,87.2313,76.0,72.0,89.0,80.0,80.0,74.0
4-3-3,FB2,Full Back,Marc Cucurella,Left Back,Official Position,84.0,100.0,80.96,86.78399999999999,85.6522,75.0,64.0,79.0,80.0,82.0,79.0
4-3-3,DM,Defensive Midfielder,Aurélien Tchouaméni,Defensive Midfielder,Official Position,84.0,100.0,83.05,87.62,86.25850000000001,71.0,69.0,79.0,78.0,81.0,82.0
4-3-3,CM1,Central Midfielder,Bernardo Silva,Central Midfielder,Official Position,84.0,100.0,85.46,88.584,86.70470000000002,61.0,78.0,83.0,89.0,71.0,65.0
4-3-3,CM2,Central Midfielder,Federico Valverde,Central Midfielder,Official Position,89.0,100.0,86.58,90.782,89.92560000000002,88.0,84.0,84.0,84.0,83.0,85.0
4-3-3,W1,Winger,Vini Jr.,Left Winger,Winger Attributes + Wide-Midfielder Position Fit,89.0,100.0,90.56,92.374,88.6367,95.0,84.0,81.0,91.0,29.0,69.0
4-3-3,W2,Winger,Rodrygo,Right Winger,Winger Attributes + Wide-Midfielder Position Fit,85.0,100.0,85.86999999999999,89.098,85.5034,88.0,80.0,79.0,87.0,31.0,64.0
4-3-3,ST,Striker,Kylian Mbappé,Striker,Official Position,91.0,100.0,87.75999999999999,91.954,89.01319999999998,97.0,90.0,81.0,92.0,37.0,76.0
