Official Roster Name,EAFC Name,Roster Position Group,Match Status
Thibaut Courtois,Thibaut Courtois,Goalkeeper,Matched
Andriy Lunin,Andriy Lunin,Goalkeeper,Matched
Sergio Mestre,,Goalkeeper,Missing from EAFC
Raúl Asencio,,Outfield,Missing from EAFC
Éder Militão,Éder Militão,Outfield,Matched
Dean Huijsen,Dean Huijsen,Outfield,Matched
Trent Alexander-Arnold,Trent Alexander-Arnold,Outfield,Matched
Ibrahima Konaté,Ibrahima Konaté,Outfield,Matched
Marc Cucurella,Marc Cucurella,Outfield,Matched
Álvaro Carreras,Álvaro Carreras,Outfield,Matched
Antonio Rüdiger,Antonio Rüdiger,Outfield,Matched
Ferland Mendy,Ferland Mendy,Outfield,Matched
Denzel Dumfries,Denzel Dumfries,Outfield,Matched
Jude Bellingham,Jude Bellingham,Outfield,Matched
Eduardo Camavinga,Eduardo Camavinga,Outfield,Matched
Federico Valverde,Federico Valverde,Outfield,Matched
Aurélien Tchouaméni,Aurélien Tchouaméni,Outfield,Matched
Arda Güler,Arda Güler,Outfield,Matched
Bernardo Silva,Bernardo Silva,Outfield,Matched
Thiago Pitarch,,Outfield,Missing from EAFC
Vini Jr.,Vini Jr.,Outfield,Matched
Endrick,Endrick,Outfield,Matched
Kylian Mbappé,Kylian Mbappé,Outfield,Matched
Rodrygo,Rodrygo,Outfield,Matched
Brahim Díaz,Brahim,Outfield,Matched
Carlos Espí,Carlos Espí,Outfield,Matched
Yan Diomande,Yan Diomande,Outfield,Matched
